mdl_month,score_column,score_decile,lower_bound,upper_bound,n_samples,pct,bad,bad_rate,baseline_pct,psi_component,month_psi
2025-12,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",109766,0.091472,49233,0.448527,0.1,0.00076,0.018985
2025-12,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",95049,0.079208,73707,0.775463,0.1,0.004847,0.023832
2026-01,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",128695,0.107246,148,0.00115,0.1,0.000507,0.000507
2026-01,model_score,2,"(0.002630, 0.003573]","(0.002630, 0.003573]",145408,0.121173,377,0.002593,0.1,0.004066,0.004573
2026-01,model_score,3,"(0.003573, 0.005580]","(0.003573, 0.005580]",159977,0.133314,611,0.003819,0.1,0.009579,0.014152
2026-01,model_score,4,"(0.005580, 0.010323]","(0.005580, 0.010323]",138991,0.115826,943,0.006785,0.1,0.002325,0.016477
2026-01,model_score,5,"(0.010323, 0.021014]","(0.010323, 0.021014]",118731,0.098943,1748,0.014722,0.1,1.1e-05,0.016489
2026-01,model_score,6,"(0.021014, 0.065915]","(0.021014, 0.065915]",107472,0.08956,4281,0.039834,0.1,0.001151,0.01764
2026-01,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",102783,0.085653,11339,0.11032,0.1,0.002222,0.019862
2026-01,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",103686,0.086405,24699,0.23821,0.1,0.001987,0.021848
2026-01,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",107417,0.089514,48285,0.44951,0.1,0.001162,0.02301
2026-01,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",86839,0.072366,66182,0.762123,0.1,0.008938,0.031948
2025-06,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",115581,0.096353,106,0.000917,0.100001,0.000136,0.000136
2025-06,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",115571,0.096344,232,0.002007,0.099999,0.000136,0.000272
2025-06,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",115938,0.09665,430,0.003709,0.100001,0.000114,0.000386
2025-06,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",116089,0.096776,898,0.007735,0.099999,0.000106,0.000491
2025-06,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",116895,0.097448,2124,0.01817,0.100041,6.8e-05,0.000559
2025-06,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",117993,0.098364,5453,0.046215,0.099959,2.6e-05,0.000585
2025-06,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",121341,0.101155,14059,0.115864,0.099999,1.3e-05,0.000598
2025-06,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",123507,0.10296,29950,0.242496,0.100001,8.6e-05,0.000685
2025-06,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",127421,0.106223,57511,0.451346,0.099999,0.000376,0.001061
2025-06,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",129223,0.107725,98498,0.762233,0.100001,0.000575,0.001635
2025-07,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",127699,0.106452,145,0.001135,0.100001,0.000403,0.000403
2025-07,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",126003,0.105038,296,0.002349,0.099999,0.000248,0.000651
2025-07,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",122934,0.10248,487,0.003961,0.100001,6.1e-05,0.000712
2025-07,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",117674,0.098095,966,0.008209,0.099999,3.7e-05,0.000748
2025-07,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",115055,0.095911,2384,0.020721,0.100041,0.000174,0.000922
2025-07,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",113537,0.094646,5673,0.049966,0.099959,0.00029,0.001213
2025-07,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",114168,0.095172,13814,0.120997,0.099999,0.000239,0.001451
2025-07,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",115305,0.09612,29489,0.255748,0.100001,0.000154,0.001605
2025-07,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",123419,0.102884,58265,0.472091,0.099999,8.2e-05,0.001687
2025-07,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",123798,0.1032,95449,0.771006,0.100001,0.000101,0.001788
2025-08,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",134426,0.112059,147,0.001094,0.100001,0.001373,0.001373
2025-08,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",130931,0.109145,330,0.00252,0.099999,0.0008,0.002173
2025-08,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",125221,0.104385,575,0.004592,0.100001,0.000188,0.002361
2025-08,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",118630,0.098891,1084,0.009138,0.099999,1.2e-05,0.002374
2025-08,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",113589,0.094689,2522,0.022203,0.100041,0.000294,0.002668
2025-08,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",112176,0.093511,5868,0.052311,0.099959,0.00043,0.003098
2025-08,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",110645,0.092235,14480,0.130869,0.099999,0.000628,0.003725
2025-08,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",112649,0.093905,30029,0.266571,0.100001,0.000383,0.004109
2025-08,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",121130,0.100975,59697,0.492834,0.099999,9e-06,0.004118
2025-08,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",120207,0.100205,94383,0.785171,0.100001,0.0,0.004119
2025-09,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",142868,0.119097,166,0.001162,0.100001,0.003337,0.003337
2025-09,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",138565,0.11551,333,0.002403,0.099999,0.002237,0.005574
2025-09,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",129923,0.108306,639,0.004918,0.100001,0.000663,0.006236
2025-09,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",122244,0.101904,1172,0.009587,0.099999,3.6e-05,0.006272
2025-09,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",117290,0.097775,2747,0.023421,0.100041,5.2e-05,0.006324
2025-09,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",114377,0.095346,6312,0.055186,0.099959,0.000218,0.006542
2025-09,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",108765,0.090668,14347,0.131908,0.099999,0.000914,0.007456
2025-09,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",108419,0.09038,29426,0.27141,0.100001,0.000973,0.008429
2025-09,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",113162,0.094333,56601,0.500177,0.099999,0.00033,0.00876
2025-09,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",103980,0.086679,81847,0.787142,0.100001,0.001905,0.010664
2025-10,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",146866,0.122428,148,0.001008,0.100001,0.004538,0.004538
2025-10,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",142316,0.118635,380,0.00267,0.099999,0.003185,0.007723
2025-10,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",132633,0.110563,639,0.004818,0.100001,0.001061,0.008783
2025-10,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",125244,0.104404,1223,0.009765,0.099999,0.00019,0.008973
2025-10,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",120294,0.100277,2778,0.023093,0.100041,1e-06,0.008973
2025-10,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",114595,0.095527,6172,0.053859,0.099959,0.000201,0.009174
2025-10,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",107732,0.089806,14076,0.130658,0.099999,0.001096,0.01027
2025-10,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",106882,0.089097,29071,0.271992,0.100001,0.001259,0.011529
2025-10,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",113003,0.094199,56864,0.503208,0.099999,0.000347,0.011876
2025-10,gcard_v2,10,"(0.606223, 0.974126]","(0.606223, +inf)",90049,0.075065,70099,0.778454,0.100001,0.007152,0.019028
2025-11,gcard_v2,1,"(-inf, 0.004965]","(-inf, 0.004965]",150507,0.125461,137,0.00091,0.100001,0.005775,0.005775
2025-11,gcard_v2,2,"(0.004965, 0.008578]","(0.004965, 0.008578]",146363,0.122006,322,0.0022,0.099999,0.004377,0.010152
2025-11,gcard_v2,3,"(0.008578, 0.014989]","(0.008578, 0.014989]",134520,0.112134,617,0.004587,0.100001,0.001389,0.011542
2025-11,gcard_v2,4,"(0.014989, 0.027974]","(0.014989, 0.027974]",126774,0.105677,1182,0.009324,0.099999,0.000314,0.011855
2025-11,gcard_v2,5,"(0.027974, 0.053630]","(0.027974, 0.053630]",120086,0.100102,2607,0.021709,0.100041,0.0,0.011855
2025-11,gcard_v2,6,"(0.053630, 0.102968]","(0.053630, 0.102968]",113016,0.094209,6080,0.053798,0.099959,0.000341,0.012196
2025-11,gcard_v2,7,"(0.102968, 0.199976]","(0.102968, 0.199976]",106148,0.088484,13730,0.129348,0.099999,0.001409,0.013605
2025-11,gcard_v2,8,"(0.199976, 0.369263]","(0.199976, 0.369263]",104913,0.087454,28230,0.26908,0.100001,0.001682,0.015287
2025-11,gcard_v2,9,"(0.369263, 0.606223]","(0.369263, 0.606223]",112674,0.093924,55855,0.495722,0.099999,0.000381,0.015668
