segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
全客群,DEV-OOS,gcard_v5,中意愿,1,30432,1.8197268e+07,255654.77,0.014049073681235313,37,0.0012158254468980021
全客群,DEV-OOS,gcard_v5,中意愿,2,100337,4.040024e+07,700988.75,0.01735110394656658,140,0.0013952978462581102
全客群,DEV-OOS,gcard_v5,中意愿,3,176089,3.6721944e+07,937260.44,0.025523170828819275,322,0.0018286207542776664
全客群,DEV-OOS,gcard_v5,中意愿,4,152821,2.1787922e+07,709792.75,0.03257735073566437,296,0.0019369065769756775
全客群,DEV-OOS,gcard_v5,中意愿,5,184477,1.0526693e+07,269333.7,0.025585783645510674,106,0.0005745973752825555
全客群,DEV-OOS,gcard_v5,中意愿,6,402587,1.4485333e+07,460934.9,0.03182080015540123,190,0.0004719476783900126
全客群,DEV-OOS,gcard_v5,中意愿,7,152803,1.9908858e+06,78206.67,0.03928235173225403,34,0.0002225087203785266
全客群,DEV-OOS,gcard_v5,高意愿,1,50115,2.2935891e+08,5.89869e+06,0.025718163698911667,652,0.013010076823306396
全客群,DEV-OOS,gcard_v5,高意愿,2,157704,4.672562e+08,1.5521552e+07,0.03321850299835205,3136,0.019885354841982446
全客群,DEV-OOS,gcard_v5,高意愿,3,228461,3.310173e+08,1.467503e+07,0.044333118945360184,4817,0.02108456147876443
全客群,DEV-OOS,gcard_v5,高意愿,4,281588,2.5024298e+08,1.2547398e+07,0.0501408614218235,6241,0.022163586516470872
全客群,DEV-OOS,gcard_v5,高意愿,5,78046,3.604832e+07,1.7175185e+06,0.04764489829540253,1118,0.014324885324039669
全客群,DEV-OOS,gcard_v5,高意愿,6,311493,1.1170708e+08,6.361436e+06,0.05694747343659401,4551,0.014610280166809528
全客群,DEV-OOS,gcard_v5,高意愿,7,92593,1.8759958e+07,1.0850158e+06,0.05783678963780403,1018,0.010994351624852851
全客群,DEV-OOS,gcard_v5,低意愿,合计,1200454,7.624396e+06,328950.75,0.04314449802041054,40,3.3320726991621504e-05
全客群,DEV-OOS,gcard_v5,中意愿,合计,1199546,1.4411029e+08,3.412172e+06,0.023677503690123558,1125,0.0009378548217408919
全客群,DEV-OOS,gcard_v5,高意愿,合计,1200000,1.4443908e+09,5.780664e+07,0.040021467953920364,21533,0.017944166666666667
全客群,DEV-OOS,gcard_v5,合计,1,82590,2.4760661e+08,6.1543445e+06,0.02485533244907856,689,0.008342414335876014
全客群,DEV-OOS,gcard_v5,合计,2,268122,5.0817728e+08,1.6245843e+07,0.0319688506424427,3279,0.012229507463020565
全客群,DEV-OOS,gcard_v5,合计,3,441194,3.689174e+08,1.5749995e+07,0.04269246757030487,5143,0.01165700349506113
全客群,DEV-OOS,gcard_v5,合计,4,479484,2.7270538e+08,1.3261291e+07,0.04862863942980766,6538,0.013635491486681516
全客群,DEV-OOS,gcard_v5,合计,5,389605,4.847428e+07,2.0186484e+06,0.04164370149374008,1230,0.0031570436724374686
全客群,DEV-OOS,gcard_v5,合计,6,1304912,1.28921736e+08,6.949422e+06,0.05390419065952301,4765,0.0036515872334686172
全客群,DEV-OOS,gcard_v5,合计,7,634093,2.1322734e+07,1.1682198e+06,0.054787520319223404,1054,0.001662216741077413
全客群,DEV-OOS,gcard_v5,合计,合计,3600000,1.5961254e+09,6.154777e+07,0.03856073319911957,22698,0.006305
全客群,DEV-OOS,gcard_v6,低意愿,1,1894,9133.9,0.0,0.0,0,0.0
全客群,DEV-OOS,gcard_v6,低意愿,2,7589,129730.336,15195.28,0.11712973564863205,2,0.0002635393332454869
全客群,DEV-OOS,gcard_v6,低意愿,3,32399,504341.03,0.0,0.0,0,0.0
全客群,DEV-OOS,gcard_v6,低意愿,4,43585,432316.75,3469.01,0.00802423246204853,3,6.883101984627739e-05
全客群,DEV-OOS,gcard_v6,低意愿,5,125075,1.691252e+06,43504.29,0.025723125785589218,7,5.596642014791125e-05
全客群,DEV-OOS,gcard_v6,低意愿,6,596970,3.1997725e+06,115995.74,0.0362512469291687,18,3.015226895823911e-05
全客群,DEV-OOS,gcard_v6,低意愿,7,392488,615582.44,9845.88,0.015994412824511528,3,7.643545789934978e-06
全客群,DEV-OOS,gcard_v6,中意愿,1,28973,1.2893476e+07,80950.16,0.0062783812172710896,23,0.0007938425430573293
全客群,DEV-OOS,gcard_v6,中意愿,2,93455,2.4864566e+07,488174.62,0.019633345305919647,93,0.000995131346637419
全客群,DEV-OOS,gcard_v6,中意愿,3,168392,2.5906332e+07,760732.06,0.02936471439898014,203,0.001205520452278018
全客群,DEV-OOS,gcard_v6,中意愿,4,141935,1.4155608e+07,458308.8,0.0323764830827713,183,0.0012893225772360587
全客群,DEV-OOS,gcard_v6,中意愿,5,195460,1.0665312e+07,265599.5,0.02490311674773693,96,0.0004911490842116034
全客群,DEV-OOS,gcard_v6,中意愿,6,417015,1.1737611e+07,502080.47,0.04277535527944565,172,0.0004124551874632807
全客群,DEV-OOS,gcard_v6,中意愿,7,154770,1.9028269e+06,68502.8,0.03600054234266281,32,0.0002067584157136396
全客群,DEV-OOS,gcard_v6,高意愿,1,51723,2.34704e+08,6.0733945e+06,0.02587682567536831,666,0.012876283278232122
全客群,DEV-OOS,gcard_v6,高意愿,2,167078,4.8318298e+08,1.5742473e+07,0.032580770552158356,3184,0.01905696740444583
全客群,DEV-OOS,gcard_v6,高意愿,3,240403,3.4250675e+08,1.4989263e+07,0.0437634103000164,4940,0.02054882842560201
全客群,DEV-OOS,gcard_v6,高意愿,4,293964,2.5811746e+08,1.2799513e+07,0.04958793893456459,6352,0.021608088065205262
全客群,DEV-OOS,gcard_v6,高意愿,5,69070,3.6117716e+07,1.7095445e+06,0.04733257368206978,1127,0.016316780078181554
全客群,DEV-OOS,gcard_v6,高意愿,6,290927,1.1398435e+08,6.331346e+06,0.05554574728012085,4575,0.015725594393095173
全客群,DEV-OOS,gcard_v6,高意愿,7,86835,1.8804326e+07,1.0898711e+06,0.05795853212475777,1019,0.01173489952208211
全客群,DEV-OOS,gcard_v6,低意愿,合计,1200000,6.582129e+06,188010.2,0.028563737869262695,33,2.75e-05
全客群,DEV-OOS,gcard_v6,中意愿,合计,1200000,1.0212573e+08,2.6243485e+06,0.02569723129272461,802,0.0006683333333333333
全客群,DEV-OOS,gcard_v6,高意愿,合计,1200000,1.4874176e+09,5.8735404e+07,0.03948817402124405,21863,0.018219166666666668
全客群,DEV-OOS,gcard_v6,合计,1,82590,2.4760661e+08,6.1543445e+06,0.02485533244907856,689,0.008342414335876014
全客群,DEV-OOS,gcard_v6,合计,2,268122,5.0817728e+08,1.6245843e+07,0.0319688506424427,3279,0.012229507463020565
全客群,DEV-OOS,gcard_v6,合计,3,441194,3.689174e+08,1.5749995e+07,0.04269246757030487,5143,0.01165700349506113
全客群,DEV-OOS,gcard_v6,合计,4,479484,2.7270538e+08,1.3261291e+07,0.04862863942980766,6538,0.013635491486681516
全客群,DEV-OOS,gcard_v6,合计,5,389605,4.847428e+07,2.0186484e+06,0.04164370149374008,1230,0.0031570436724374686
全客群,DEV-OOS,gcard_v6,合计,6,1304912,1.28921736e+08,6.949422e+06,0.05390419065952301,4765,0.0036515872334686172
全客群,DEV-OOS,gcard_v6,合计,7,634093,2.1322734e+07,1.1682198e+06,0.054787520319223404,1054,0.001662216741077413
全客群,DEV-OOS,gcard_v6,合计,合计,3600000,1.5961254e+09,6.154777e+07,0.03856073319911957,22698,0.006305
老户次新,DEV-OOS,model_score,低意愿,1,12581,1.4043521e+07,110054.46,0.00783667154610157,22,0.0017486686272951276
老户次新,DEV-OOS,model_score,低意愿,2,58879,4.5132188e+07,673773.75,0.014928895980119705,189,0.0032099729954652764
老户次新,DEV-OOS,model_score,低意愿,3,108565,3.999961e+07,1.1118678e+06,0.027796966955065727,410,0.0037765394003592316
老户次新,DEV-OOS,model_score,低意愿,4,123752,2.6326054e+07,1.00194706e+06,0.03805914148688316,474,0.0038302411274161226
老户次新,DEV-OOS,model_score,低意愿,5,21266,3.3484142e+06,115245.82,0.034418027848005295,94,0.004420201260227593
老户次新,DEV-OOS,model_score,低意愿,6,91118,9.487627e+06,322389.38,0.033979978412389755,294,0.0032265853069645954
老户次新,DEV-OOS,model_score,低意愿,7,13046,547541.1,31797.17,0.058072660118341446,28,0.0021462517246665647
老户次新,DEV-OOS,model_score,中意愿,1,17836,5.975823e+07,1.0707702e+06,0.01791837252676487,145,0.008129625476564251
老户次新,DEV-OOS,model_score,中意愿,2,58965,1.08378664e+08,2.5768562e+06,0.02377641573548317,665,0.011277876706520817
老户次新,DEV-OOS,model_score,中意愿,3,87285,7.8920744e+07,2.2571795e+06,0.02860058657824993,1111,0.012728418399495903
老户次新,DEV-OOS,model_score,中意愿,4,109500,5.6271588e+07,1.8869978e+06,0.03353375568985939,1358,0.012401826484018264
老户次新,DEV-OOS,model_score,中意愿,5,21557,7.9044955e+06,311775.66,0.03944282978773117,229,0.010622999489724916
老户次新,DEV-OOS,model_score,中意愿,6,105333,2.9517808e+07,1.4485456e+06,0.04907361790537834,1095,0.010395602517729486
老户次新,DEV-OOS,model_score,中意愿,7,28730,4.5653855e+06,220503.7,0.04829903319478035,203,0.007065784893839192
老户次新,DEV-OOS,model_score,高意愿,1,15312,1.5181915e+08,4.5630395e+06,0.030055757611989975,464,0.030303030303030304
老户次新,DEV-OOS,model_score,高意愿,2,57986,3.3341453e+08,1.2385421e+07,0.03714721277356148,2314,0.03990618425137102
老户次新,DEV-OOS,model_score,高意愿,3,82589,2.3257306e+08,1.1790985e+07,0.05069798231124878,3490,0.04225744348520989
老户次新,DEV-OOS,model_score,高意愿,4,112518,1.8276651e+08,1.0204428e+07,0.05583313852548599,4650,0.04132672105796406
老户次新,DEV-OOS,model_score,高意愿,5,20809,2.2980148e+07,1.2174654e+06,0.0529790036380291,783,0.0376279494449517
老户次新,DEV-OOS,model_score,高意愿,6,102473,7.395736e+07,4.4985e+06,0.060825590044260025,3195,0.031178944697627668
老户次新,DEV-OOS,model_score,高意愿,7,37520,1.2988504e+07,807221.4,0.06214891001582146,780,0.020788912579957356
老户次新,DEV-OOS,model_score,低意愿,合计,429207,1.3888494e+08,3.3670755e+06,0.024243632331490517,1511,0.0035204458454778233
老户次新,DEV-OOS,model_score,中意愿,合计,429206,3.4531693e+08,9.772629e+06,0.028300462290644646,4806,0.01119742035293076
老户次新,DEV-OOS,model_score,高意愿,合计,429207,1.01049926e+09,4.546706e+07,0.044994648545980453,15676,0.036523169473004866
老户次新,DEV-OOS,model_score,合计,1,45729,2.2562091e+08,5.743864e+06,0.02545803040266037,631,0.013798683548732751
老户次新,DEV-OOS,model_score,合计,2,175830,4.8692538e+08,1.5636051e+07,0.03211180120706558,3168,0.018017403173519877
老户次新,DEV-OOS,model_score,合计,3,278439,3.514934e+08,1.5160032e+07,0.04313034564256668,5011,0.01799676051127895
