segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户次新,DEV-OOS,model_score,高意愿,4,112518,88325,0.7849855134289625
老户次新,DEV-OOS,model_score,高意愿,5,20809,16150,0.7761064923831035
老户次新,DEV-OOS,model_score,高意愿,6,102473,78879,0.7697539839762669
老户次新,DEV-OOS,model_score,高意愿,7,37520,28758,0.7664712153518124
老户次新,DEV-OOS,model_score,低意愿,合计,429207,58589,0.1365052294114495
老户次新,DEV-OOS,model_score,中意愿,合计,429206,170702,0.39771578216520737
老户次新,DEV-OOS,model_score,高意愿,合计,429207,333757,0.7776131330570097
老户次新,DEV-OOS,model_score,合计,1,45729,20081,0.4391305298607011
老户次新,DEV-OOS,model_score,合计,2,175830,76152,0.43310015355741344
老户次新,DEV-OOS,model_score,合计,3,278439,112830,0.4052234062038723
老户次新,DEV-OOS,model_score,合计,4,345770,148936,0.43073719524539433
老户次新,DEV-OOS,model_score,合计,5,63632,27863,0.4378771687201408
老户次新,DEV-OOS,model_score,合计,6,298924,134224,0.4490238321446254
老户次新,DEV-OOS,model_score,合计,7,79296,42962,0.5417927764326069
老户次新,DEV-OOS,model_score,合计,合计,1287620,563048,0.43727807893633214
老户次新,DEV-OOS,gcard_v2,低意愿,1,10494,1602,0.15265866209262435
老户次新,DEV-OOS,gcard_v2,低意愿,2,54571,8087,0.14819226329002583
老户次新,DEV-OOS,gcard_v2,低意愿,3,109872,16356,0.14886413280908695
老户次新,DEV-OOS,gcard_v2,低意愿,4,125433,19580,0.15609927212137156
老户次新,DEV-OOS,gcard_v2,低意愿,5,22096,3690,0.16699855177407674
老户次新,DEV-OOS,gcard_v2,低意愿,6,93710,16128,0.1721054316508377
老户次新,DEV-OOS,gcard_v2,低意愿,7,12611,2416,0.19157878042978352
老户次新,DEV-OOS,gcard_v2,中意愿,1,16421,5400,0.3288472078436149
老户次新,DEV-OOS,gcard_v2,中意愿,2,55473,19938,0.35941809528960034
老户次新,DEV-OOS,gcard_v2,中意愿,3,82220,32339,0.39332279250790564
老户次新,DEV-OOS,gcard_v2,中意愿,4,107261,44161,0.41171534854234065
老户次新,DEV-OOS,gcard_v2,中意愿,5,21490,9144,0.42550023266635645
老户次新,DEV-OOS,gcard_v2,中意愿,6,110382,47565,0.43091264880143504
老户次新,DEV-OOS,gcard_v2,中意愿,7,35540,17137,0.4821890827236916
老户次新,DEV-OOS,gcard_v2,高意愿,1,18811,13077,0.6951783530912764
老户次新,DEV-OOS,gcard_v2,高意愿,2,65773,48122,0.7316376020555547
