segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
全客群,DEV-OOS,gcard_v6,高意愿,7,86835,0.024120833333333334,0.0723625,0.13694363445109786
全客群,DEV-OOS,gcard_v6,低意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,gcard_v6,中意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,gcard_v6,高意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,gcard_v6,合计,1,82590,0.022941666666666666,,1.0
全客群,DEV-OOS,gcard_v6,合计,2,268122,0.07447833333333333,,1.0
全客群,DEV-OOS,gcard_v6,合计,3,441194,0.12255388888888889,,1.0
全客群,DEV-OOS,gcard_v6,合计,4,479484,0.13319,,1.0
全客群,DEV-OOS,gcard_v6,合计,5,389605,0.10822361111111112,,1.0
全客群,DEV-OOS,gcard_v6,合计,6,1304912,0.36247555555555555,,1.0
全客群,DEV-OOS,gcard_v6,合计,7,634093,0.17613694444444444,,1.0
全客群,DEV-OOS,gcard_v6,合计,合计,3600000,1.0,,
老户次新,DEV-OOS,model_score,低意愿,1,12581,0.009770739814541558,0.029312196678991723,0.2751208204859061
老户次新,DEV-OOS,model_score,低意愿,2,58879,0.04572700020192293,0.13718089406743134,0.33486322015583236
老户次新,DEV-OOS,model_score,低意愿,3,108565,0.08431447166089374,0.25294321854023816,0.38990586807164224
老户次新,DEV-OOS,model_score,低意愿,4,123752,0.09610910051102033,0.2883270776105702,0.35790265205194205
老户次新,DEV-OOS,model_score,低意愿,5,21266,0.016515742222084157,0.04954718818658596,0.33420291677143577
老户次新,DEV-OOS,model_score,低意愿,6,91118,0.07076466659418151,0.21229383490949588,0.3048199542358593
老户次新,DEV-OOS,model_score,低意愿,7,13046,0.010131871204237275,0.03039559000668675,0.164522800645682
老户次新,DEV-OOS,model_score,中意愿,1,17836,0.01385191283142542,0.04155580304096401,0.39003695685451245
老户次新,DEV-OOS,model_score,中意愿,2,58965,0.04579379009335052,0.13738158366844824,0.3353523289541034
