feature,real_importance,null_p75,null_mean,score
d90_suc_ord_prc_amt_per_stg_avg_all,135.8711986541748,75.25097823143005,52.80909526348114,1.8055738522934646
m3_manual_rep_apl_suc_stg_pln_cnt_avg,206.24980068206787,114.33429646492004,92.71962158679962,1.8039189207356452
cnt_other_info_light_uid_recent_days_360,77.0167007446289,42.94307518005371,38.9445764541626,1.7934603058050622
light_his_sum_larger_than_1w_faqi_count_divide_heavy_his_sum_larger_than_1w_faqi_count,119.22360038757324,67.12280058860779,48.72544162273407,1.7762012213746652
stg_pln_avg_prc_amt_bjq_12m_his_per_mth,179.22689628601074,100.9797842502594,82.71096947193146,1.7748789781708247
stg_pln_sum_rep_prc_1m_his,114.86370277404785,65.19151973724365,48.652256393432616,1.7619424004381152
ord_apl_cnt_720_day_19_23,86.46264934539795,49.09409785270691,39.66610357761383,1.7611617918879967
rsk_avl_lmt_ch_1m_les_10000_rate_24m,194.53009796142578,110.6584540605545,102.46426062583923,1.7579325467078641
stg_pln_cnt_on_1m_rto_his_light,84.52250099182129,48.15432596206665,29.98034248352051,1.7552421159088283
mdt_lst_60d_180d_stg_cnt_ever_overdue_rte_rte,90.38810062408447,51.63087487220764,37.07826607227325,1.7506598686891406
avg_ddf_rep_dte_ord_crt_tim_7_bjq_12m,138.49829959869385,79.73179244995117,62.09388453960419,1.7370523770129875
stg_pln_sum_prc_amt_adv_rct_14d_rto,47.4394006729126,27.451074600219727,20.596405339241027,1.7281436651858022
stg_pln_pay_off_sum_prc_amt_14d,111.18660068511963,64.44184339046478,42.32216985225678,1.7253789593109543
m1_stg_pln_pmt_not_eng_cnt_min,37.518699645996094,21.794780254364014,16.879863500595093,1.7214534493176938
d360_max_adv_repay_amt_divide_d360_max_faqi_prc_amt,163.19520092010498,94.8149516582489,73.07334461212159,1.7211969005513594
m1_stg_pln_d0_rep_apl_cnt,115.89050102233887,67.42202973365784,41.02037734985352,1.7188818177107625
percent_true_followup_code_other_call_mode_manual_180d,53.50990009307861,31.521326065063477,27.10632481575012,1.6975776965292737
ddf_3m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,145.09249591827393,86.82467532157898,61.2026154756546,1.6710974775417715
his_90_day_csh_apl_ord_cnt_his_rto,174.515962600708,104.81053638458252,73.2934455871582,1.6650612488076062
m1_pmt_not_eng_equal_1_stg_pln_d0_cnt,25.074830055236816,15.097224712371826,10.472504043579102,1.6608900332978798
m3_manual_rep_apl_suc_amt_sum,146.7666997909546,88.37034273147583,69.35581021308899,1.6608139705525788
stg_pln_sum_prc_amt_36m_ftr_light,68.89130020141602,41.550074338912964,25.211317396163942,1.6580307327367914
af_6m_inter_1m_sum_up,108.62909984588623,66.03018069267273,56.46039786338806,1.6451431558469238
