segment_column,segment_value,count,ratio
credit_limit,39300.0,1061,0.0006415508478931918
credit_limit,19100.0,1061,0.0006415508478931918
credit_limit,26900.0,1059,0.0006403415154749199
credit_limit,900.0,1058,0.000639736849265784
credit_limit,24500.0,1053,0.0006367135182201045
credit_limit,26500.0,1052,0.0006361088520109686
credit_limit,21900.0,1044,0.0006312715223378815
credit_limit,20800.0,1031,0.0006234108616191147
credit_limit,27500.0,1031,0.0006234108616191147
credit_limit,33600.0,1023,0.0006185735319460275
credit_limit,23200.0,1010,0.0006107128712272608
credit_limit,30800.0,1003,0.0006064802077633094
credit_limit,27100.0,1001,0.0006052708753450376
credit_limit,30400.0,999,0.0006040615429267659
credit_limit,29800.0,997,0.0006028522105084941
credit_limit,30300.0,995,0.0006016428780902223
credit_limit,26700.0,991,0.0005992242132536786
credit_limit,32200.0,988,0.0005974102146262709
credit_limit,29500.0,981,0.0005931775511623196
credit_limit,26800.0,978,0.0005913635525349119
credit_limit,32800.0,974,0.0005889448876983683
credit_limit,36800.0,972,0.0005877355552800965
credit_limit,28800.0,970,0.0005865262228618247
credit_limit,25200.0,969,0.0005859215566526888
credit_limit,150000.0,956,0.000578060895933922
credit_limit,32400.0,955,0.0005774562297247861
credit_limit,33100.0,954,0.0005768515635156502
credit_limit,25400.0,945,0.0005714095676334272
credit_limit,32100.0,939,0.0005677815703786117
credit_limit,22200.0,937,0.0005665722379603399
credit_limit,31200.0,935,0.0005653629055420681
credit_limit,24100.0,919,0.0005556882461958937
credit_limit,27800.0,907,0.0005484322516862629
credit_limit,22100.0,907,0.0005484322516862629
credit_limit,33500.0,901,0.0005448042544314475
credit_limit,32600.0,900,0.0005441995882223116
credit_limit,29000.0,898,0.0005429902558040398
credit_limit,29400.0,869,0.0005254549357390986
credit_limit,23800.0,863,0.0005218269384842832
credit_limit,1100.0,857,0.0005181989412294678
credit_limit,34000.0,855,0.000516989608811196
credit_limit,26300.0,854,0.0005163849426020601
credit_limit,35400.0,843,0.0005097336143015652
credit_limit,28200.0,833,0.0005036869522102061
credit_limit,30200.0,832,0.0005030822860010702
credit_limit,34500.0,828,0.0005006636211645266
credit_limit,31500.0,828,0.0005006636211645266
credit_limit,36000.0,826,0.0004994542887462549
credit_limit,23900.0,826,0.0004994542887462549
credit_limit,31300.0,817,0.0004940122928640317
credit_limit,30100.0,816,0.0004934076266548958
credit_limit,37800.0,815,0.0004928029604457599
credit_limit,28500.0,809,0.0004891749631909445
credit_limit,29100.0,809,0.0004891749631909445
credit_limit,43500.0,808,0.0004885702969818086
credit_limit,32700.0,804,0.000486151632145265
credit_limit,27400.0,803,0.0004855469659361291
credit_limit,22900.0,791,0.0004782909714264983
credit_limit,40500.0,787,0.00047587230658995466
credit_limit,31800.0,785,0.00047466297417168287
credit_limit,25100.0,782,0.0004728489755442752
credit_limit,29900.0,780,0.00047163964312600334
credit_limit,39200.0,778,0.00047043031070773155
credit_limit,27700.0,776,0.00046922097828945976
credit_limit,26600.0,766,0.00046317431619810075
credit_limit,27900.0,757,0.00045773232031587764
credit_limit,28900.0,754,0.0004559183216884699
credit_limit,27200.0,752,0.0004547089892701981
credit_limit,30700.0,746,0.00045108099201538273
credit_limit,34200.0,744,0.0004498716595971109
