feature,gain,split
6m_used_lmt_second_der_median,154.42728090286255,16
12stg_pln_repay_amt_first_der_mean_rto,153.98916101455688,15
stg_pln_sum_prc_amt_6m_12m_ftr_cash,153.68898010253906,9
credit_avg_limit_cnt_36m,152.69662141799927,13
recent_36m_overdue_3d_month_rto,152.21887016296387,13
24stg_pln_repay_amt_second_der_mean_rto,151.9844193458557,14
12m_used_lmt_first_der_mean_rto,150.71228981018066,13
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,150.4638090133667,12
12m_used_lmt_second_der_mean_diff,150.25956058502197,14
6stg_pln_repay_amt_first_der_mean_diff,150.1497883796692,14
rsi_af_6m_inter_1m,149.6737904548645,16
af_1y_inter_3m_sum_up,149.4723620414734,9
stg_pln_min_prc_amt_ftr,149.37712907791138,13
avg_avl_lmt_lft_rep_prc_all_cash_24m,149.14817094802856,9
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,148.94386100769043,17
m1_stg_pln_d0_rep_apl_suc_cnt_rat,148.78952074050903,13
m3_rep_apl_suc_amt_avg,148.29447174072266,13
d180_max_adv_repay_amt_divide_d180_max_faqi_prc_amt,147.2191686630249,16
cnt_event_type_repay_event_result_1_all,146.55751204490662,10
3m_used_lmt_second_der_median,146.18272018432617,14
m6_payment_not_eng_inteday_avg,146.13676166534424,10
credit_fund_level2_reject_cnt_36m,146.00111055374146,14
ord_apl_cnt_13_18,145.3093400001526,13
3stg_pln_repay_amt_first_der_stddev,144.51356029510498,13
3m_repay_amt_first_der_mean_rto,144.29080986976624,13
18m_repay_amt_second_der_median,143.20910024642944,14
12m_repay_amt_second_der_mean_diff,142.9263093471527,12
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,142.8460192680359,10
stg_pln_min_prc_amt_1m_3m_ftr_rto_cash,142.62181901931763,14
m6_payment_not_eng_mdl_crt_ddf_avg,139.99757957458496,16
m1_rep_apl_suc_amt_sum,139.97149085998535,10
stg_pln_sum_rep_prc_his_d0_mrn_pk,139.82240962982178,13
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,139.23968982696533,8
his_max_faqi_prc_amt_divide_max_ovd_amt_sum_mon,138.4866590499878,15
d90_max_due_prc_amt_divide_rsk_adt_lmt_cash,137.93838834762573,11
ord_apl_sum_prc_amt_360_day_19_23,137.85865116119385,13
3m_used_lmt_first_der_sum,135.88673973083496,10
stg_pln_avg_prc_amt_2m_ftr_his_rep_rto_all,134.95188069343567,12
fst_ord_prc_fst_adt_lmt_rto,134.73420023918152,14
12m_repay_amt_first_der_median,134.48990058898926,13
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,134.29480981826782,12
d30_apl_ord_prc_amt_avg_all,133.3844985961914,6
stg_pln_max_prc_amt_adv_rct_36m,133.06527239084244,13
12m_repay_amt_first_der_sum,132.80468893051147,11
f54__percent_true_call_mode_is_ai_called_phone_social_relations_is_self_30d,132.32166004180908,12
18stg_pln_repay_amt_second_der_mean_rto,131.72668075561523,11
f54__percent_true_call_mode_is_ai_called_phone_social_relations_is_self_180d,131.24226999282837,11
18ord_apply_amt_first_der_median,130.71639013290405,10
36stg_pln_repay_amt_first_der_sum,129.64797115325928,14
pmt_crd_amt_3m,129.6086196899414,13
3m_used_lmt_second_der_stddev,128.09800958633423,12
his_720_day_csh_apl_ord_cnt_his_rto,128.07439136505127,5
max_ddf_suc_lag_crt_dte,127.78877067565918,12
12m_used_lmt_first_der_sum,127.72332954406738,9
6m_used_lmt_first_der_mean_diff,126.97972917556763,11
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,126.95115995407104,11
min_rsk_avl_lmt_36m_bt_ch,126.6468596458435,11
stg_pln_max_prc_amt_d0_rep_his_fst_ord,126.50729990005493,13
median_amt_event_result_1_all,126.14286041259766,13
his_advrepay_suc_trade_in_same_month_count_sum,126.0515809059143,16
d360_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,125.27730989456177,7
rsk_avl_lmt_ch_les_1000_rate_12m,124.4969310760498,11
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,123.95813012123108,12
his_max_ovd_repay_amt_divide_his_max_suc_prc_amt,123.81701922416687,12
12ord_apply_amt_second_der_sum,123.19878149032593,11
rsk_avl_lmt_ch_1m_les_10000_rate_6m,122.18579006195068,9
d365_aplord_fal_month_cnt,121.73291730880737,9
credit_loan_avg_days_36m,121.45001125335693,11
stg_pln_avg_prc_amt_12m_ftr_his_rep_rto_cash,121.41619873046875,11
stg_pln_cnt_3m_6m_ftr_rto_all,121.19036054611206,10
percent_true_followup_code_wfjt_is_can_contact_person_yes_30d,120.76716995239258,10
avg_ddf_rep_dte_ord_crt_tim_3,120.23968982696533,10
d360_apl_ord_prc_amt_per_stg_avg,119.78947925567627,10
stg_pln_avg_prc_amt_his_light,119.3415904045105,12
n_unique_event_type_day_diff_shift1_event_type_loan,117.8670301437378,9
6stg_pln_repay_amt_second_der_median,117.75239181518555,11
ord_apl_suc_sum_stg_num_180_day,117.57121181488037,2
m6_pmt_not_eng_amt_pday_min,117.55287027359009,10
3ord_apply_amt_first_der_mean_diff,117.469810962677,11
3ord_apply_amt_second_der_mean_diff,116.96681880950928,12
af_1m_trend,116.91587972640991,10
12stg_pln_repay_amt_first_der_median,116.61022013425827,13
std_amt_channel_hb,115.75564908981323,11
d360_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,114.59139823913574,5
d1095_aplord_stg_grt_fst_month_cnt,114.34985971450806,12
12ord_apply_amt_second_der_stddev,114.26892757415771,8
m3_stg_pln_bnk_cnt_avg,113.57159996032715,12
payment_balancenotenough_dis_rate_1m,112.5249891281128,11
d30_apl_ord_days_cnt_all,112.26310348510742,2
stg_pln_sum_rep_prc_12m_his_d0_dwn_zd,111.3667106628418,9
rsk_lmt_rate_ch_1m_grt_0p2_cnt_24m,111.33294010162354,8
12stg_pln_repay_amt_second_der_median,111.0792908668518,9
avg_ddf_rep_dte_ord_crt_tim_neg_7,110.13629817962646,9
stg_pln_avg_prc_amt_adv_3d,109.90404987335205,12
ord_apl_sum_prc_amt_13_18,109.65217185020447,12
stg_pln_sum_prc_amt_3m_6m_rto_ftr,108.94678163528442,10
min_amt_event_type_repay_recent_180,108.7334794998169,10
d720_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,108.34573078155518,8
6m_used_lmt_first_der_mean_rto,108.32762050628662,12
12m_repay_amt_first_der_mean_diff,107.3289303779602,11
m3_manual_rep_apl_suc_amt_sum,106.6554012298584,8
12m_used_lmt_first_der_min,105.78436040878296,9
min_amt_channel_hb,105.54281997680664,13
12m_used_lmt_first_der_great_0_sum,105.01658868789673,11
3m_repay_amt_first_der_min,104.22318935394287,9
max_avl_lmt_lft_rep_prc_all_cash_24m,104.0498514175415,10
ddf_24m_rep_dte_1_crt_dt_rep_prc_amt_rto,103.42389011383057,9
rsk_avl_lmt_ch_les_5000_rate_12m,103.28672122955322,9
