feature,gain,split
sum_day_diff_shift1_event_type_loan_all,512.2242913246155,46
avg_avl_lmt_lft_rep_prc_all_cash_24m,512.0784831047058,33
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,511.1961121559143,39
3m_used_lmt_second_der_stddev,508.29449009895325,37
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,507.4069995880127,22
ord_apl_cnt_13_18,503.98353338241577,33
d15_d360_suc_ord_cnt_rat,501.2954053878784,26
12m_repay_amt_first_der_sum,500.19255924224854,45
min_amt_channel_hb,499.7342200279236,45
6m_used_lmt_first_der_small_0_sum,496.46329736709595,42
credit_fund_level2_reject_cnt_36m,496.44290828704834,44
d90_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,496.3483819961548,21
3m_used_lmt_second_der_mean_diff,495.17034935951233,47
3stg_pln_repay_amt_second_der_mean_rto,494.29960894584656,48
avg_avl_lmt_lft_rep_prc_all_cash_36m,490.461345911026,39
18m_repay_ftr_amt_first_der_mean_diff,490.3881936073303,32
3m_repay_ftr_amt_first_der_mean_diff,489.8938111066818,41
d1080_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,487.4005904197693,41
m1_manual_rep_apl_suc_amt_sum,483.9113907814026,26
credit_unique_scene_cnt_12m,483.64437103271484,25
rsk_lmt_rate_ch_1m_grt_0p95_rate_3m,482.83069705963135,25
light_his_max_faqi_prc_amt_divide_heavy_his_max_faqi_prc_amt,479.22083854675293,41
stg_pln_sum_rep_prc_his_d0_mrn_pk,477.8245384693146,45
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,476.8488109111786,40
d720_repaid_interest_fee_sum,475.56258153915405,44
6ord_apply_amt_second_der_mean_rto,474.3599090576172,41
median_amt_other_info_auto_deduct_all,472.94703698158264,45
12stg_pln_repay_amt_first_der_median,471.2207715511322,42
6stg_pln_repay_amt_first_der_mean_rto,468.7129292488098,44
ddf_36m_rep_dte_5_crt_dt_rep_prc_amt_rto,465.6786695718765,41
stg_pln_max_prc_amt_d0_rep_his_fst_ord,465.5417019575834,43
his_max_faqi_prc_amt_divide_max_ovd_amt_sum_mon,464.2422888278961,43
18ord_apply_amt_first_der_min,463.89742136001587,36
sum_talk_duration_180d,462.0786485671997,36
6stg_pln_repay_amt_second_der_sum,461.9856472015381,41
12stg_pln_repay_amt_first_der_mean_rto,461.2923890352249,42
stg_pln_avg_prc_amt_2m_ftr_his_rep_rto_all,461.1991991996765,44
12ord_apply_amt_second_der_stddev,461.0034227371216,36
d360_apl_ord_prc_amt_min,454.8243770599365,29
m6_payment_not_eng_inteday_avg,454.0465097427368,34
12m_used_lmt_first_der_avg,453.58485078811646,35
d720_max_ovd_repay_amt_divide_d720_max_fail_prc_amt,453.1628122329712,38
d90_d360_apl_ord_prc_amt_avg_rat,449.04781770706177,36
3m_used_lmt_first_der_mean_diff,448.98581832647324,40
24stg_pln_repay_amt_second_der_avg,444.54637718200684,37
stg_pln_sum_prc_amt_7d_ftr_cash,443.91191124916077,33
12ord_apply_amt_second_der_sum,443.01249504089355,35
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,441.94379007071257,38
18m_repay_ftr_amt_second_der_mean_diff,439.26640272140503,36
recent_1m_repay_progress_max,438.2458415031433,25
3m_used_lmt_second_der_median,434.84463930130005,38
d360_due_repay_amt_sum_divide_d360_faqi_trade_amt_sum,434.0023183822632,37
18m_used_lmt_second_der_mean_rto,431.8575382232666,39
stg_pln_avg_prc_amt_12m_ftr_his_rep_rto_cash,430.9592101573944,32
18m_used_lmt_first_der_mean_rto,425.4089117050171,38
d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,424.91797041893005,30
rsi_af_6m_inter_1m,424.3987183570862,37
m1_stg_pln_d0_rep_apl_suc_cnt_rat,424.1877689361572,27
d90_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,423.1815629005432,31
12m_repay_amt_first_der_mean_diff,422.898051738739,36
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt,421.2392101287842,29
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_v2,420.8484630584717,36
rsi_af_1y_inter_1m,419.9567222595215,40
6stg_pln_repay_amt_second_der_median,415.50675654411316,39
stg_pln_avg_prc_amt_his_ftr_light,415.5015878677368,29
6stg_pln_repay_amt_first_der_median,414.6179881095886,40
stg_pln_cnt_adv_rct,411.8963761329651,41
avg_ddf_rep_dte_ord_crt_tim_neg_7,409.9672203063965,36
min_ddf_mdl_rep_tim_adv_bjq_12m,409.6541414260864,35
stg_pln_min_prc_amt_1m_3m_ftr_rto_cash,409.438090801239,39
stg_pln_avg_prc_amt_adv_3d,407.96317088603973,39
ddf_24m_rep_dte_1_crt_dt_rep_prc_amt_rto,406.2170104980469,34
d90_apl_ord_ddf_mdl_ord_crt_dte_max,404.33003783226013,33
6m_used_lmt_first_der_min,403.04990911483765,32
tot_pending_repay_tot_fee_stddev,401.7632875442505,35
d90_max_due_prc_amt_divide_rsk_adt_lmt_cash,399.94353687763214,32
af_1y_inter_3m_sum_up,393.59832549095154,22
6m_used_lmt_first_der_mean_rto,392.6936092376709,35
6m_repay_ftr_amt_second_der_mean_rto,392.5878496170044,33
3m_repay_amt_first_der_max,391.73807525634766,23
stg_pln_min_prc_amt_ftr,390.23182612657547,30
36stg_pln_repay_amt_first_der_sum,389.6103012561798,39
succloan_day_diff_reud_stage_num_sum_all,388.8886471390724,36
6m_used_lmt_second_der_min,385.8660502433777,36
m1_rep_apl_suc_amt_max,385.82867991924286,26
stg_pln_sum_prc_amt_6m_12m_ftr_cash,385.6525173187256,25
credit_loan_avg_days_36m,384.55108976364136,32
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,384.5339894294739,33
d360_light_limit_divide_btch_adt_limit,383.89276933670044,26
m6_payment_not_eng_mdl_crt_ddf_avg,383.32300740480423,37
credit_avg_limit_cnt_36m,382.60756063461304,29
12m_used_lmt_first_der_mean_rto,380.85479736328125,33
d360_apl_ord_prc_amt_per_stg_avg,380.52845491468906,29
abf_1y_inter_1m_count_up,380.1832637786865,18
d365_aplord_suc_month_cnt,380.01613903045654,12
stg_pln_max_prc_amt_6m_12m_ftr_cash,379.4189405441284,23
stg_pln_cnt_his_ftr_light,379.1766905784607,19
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,378.30379343032837,26
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,377.0710406303406,28
max_avl_lmt_lft_rep_prc_all_cash_24m,374.6242628097534,31
d90_apl_ord_prc_amt_avg,374.5530800819397,26
ddf_24m_rep_dte_neg_7_crt_dt_avg_prc_amt,374.4998893737793,29
credit_unique_fund_cnt_36m,373.68710947036743,32
d30_d360_apl_ord_prc_amt_avg_rat_all,373.294930934906,20
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,372.8874087333679,28
d30_apl_ord_prc_amt_avg_all,371.5704107284546,24
credit_unique_fund_cnt_3m,370.9280562400818,21
d90_apl_ord_prc_amt_per_stg_max,369.84897089004517,20
d1080_max_adv_repay_amt_divide_d1080_max_faqi_prc_amt,367.6907513141632,35
m3_rep_apl_suc_amt_avg,367.65403175354004,29
m3_rep_apl_stg_pln_cnt_max,366.6670255661011,21
min_amt_event_type_repay_recent_180,365.15433979034424,34
3m_repay_ftr_amt_first_der_mean_rto,359.65506064891815,32
12m_repay_amt_first_der_median,358.8989396095276,32
d1080_repaid_interest_fee_stddev,354.04794120788574,32
stg_pln_sum_rep_prc_his_d0_afn_zd_v2,354.04220962524414,30
36stg_pln_repay_amt_second_der_mean_diff,353.8042621612549,31
30stg_pln_repay_amt_second_der_mean_rto,353.1857397556305,33
d720_repaid_tot_fee_stddev,351.7732472419739,31
d720_max_due_prc_amt_divide_d720_max_faqi_prc_amt,349.1813020706177,31
