feature,gain,split
m3_manual_rep_apl_suc_amt_avg,1932.8939270973206,121
pmt_crd_amt_pmonth_his,1921.1742186546326,143
min_ddf_rep_tim_dte_adv,1917.535771369934,131
min_rsk_lmt_rate_bt_ch_3m,1911.857931137085,143
pmt_crd_amt_1m,1897.754521369934,138
3m_repay_amt_second_der_mean_rto,1889.5232996940613,147
ddf_3m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,1880.319061756134,91
6m_repay_amt_first_der_mean_rto,1868.0109519958496,142
stg_pln_sum_rep_prc_his_d0_evn_zd_rto_v2,1863.841555595398,128
stg_pln_sum_prc_amt_1m_2m_rto,1863.1058330535889,135
rsi_af_1y_inter_3m,1861.4733352661133,110
6m_repay_amt_second_der_mean_rto,1853.3651008605957,144
af_1y_inter_1m_sum_up,1851.597182750702,121
max_avl_lmt_lft_rep_prc_all_cash_24m,1845.233865737915,134
d720_trade_fail_count_mon_divide_his_trade_success_count_mon,1839.6084756851196,131
ord_apl_suc_max_prc_amt_his,1834.093521118164,120
d1080_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,1830.5745692253113,125
rsk_lmt_rate_ch_1m_grt_0p8_rate_1m,1829.3824291229248,82
m1_stg_pln_rep_apl_cnt_avg,1825.788332939148,92
d180_due_repay_amt_larger_than_rsk_avl_lmt_cash_his_t_day_count_sum,1825.6511278152466,76
18ord_apply_amt_second_der_median,1815.2953896522522,139
d30_suc_ord_prc_amt_sum_all,1808.715250968933,89
36stg_pln_repay_amt_first_der_mean_rto,1801.5348677635193,142
n_unique_event_type_day_diff_shift1_event_type_loan,1796.9227094650269,108
stg_pln_avg_prc_amt_24m_his_per_mth,1792.8493204116821,113
d15_d30_suc_ord_prc_amt_avg_rat_all,1776.2556018829346,97
stg_pln_sum_prc_amt_adv_rct_36m_rto,1770.1969738006592,115
percent_true_followup_code_other_30d,1765.819610118866,99
18ord_apply_amt_second_der_min,1762.1485743522644,111
30stg_pln_repay_amt_second_der_mean_rto,1760.3886132240295,140
d360_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,1742.3099269866943,88
sum_talk_duration_180d,1742.2151503562927,105
his_success_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,1737.338225364685,89
min_ddf_mdl_rep_dte_ftr,1734.7470684051514,122
stg_pln_pay_off_sum_prc_amt_14d,1732.9391694068909,121
d30_his_rep_amt_sum_btch,1731.856379032135,114
used_rate_ch_grt_0p5_cnt_3m,1726.5019993782043,58
3m_repay_amt_second_der_max,1725.9268779754639,124
m6_rep_apl_suc_stg_pln_cnt_avg,1721.7686867713928,124
his_360_day_csh_apl_ord_cnt_his_rto_bjq_12m,1721.5424766540527,41
stg_pln_avg_prc_amt_24m_his,1719.6914343833923,123
ord_apl_sum_prc_amt_360_day_bjq_12m,1715.4814386367798,76
stg_pln_sum_prc_amt_ovd_pls_fst_ord,1704.2425427436829,118
m3_rep_apl_stg_pln_cnt_max,1702.2729940414429,85
d360_light_limit_divide_btch_adt_limit,1683.4322962760925,123
rsk_lmt_rate_ch_1m_grt_0p2_cnt_3m,1670.9075164794922,40
stg_pln_sum_rep_prc_his_d0_afn_zd,1658.0643711090088,113
18m_repay_amt_first_der_mean_rto,1654.7405123710632,133
m6_manual_rep_apl_suc_cnt_in_manual_rep_rat,1642.9998321533203,94
min_rsk_lmt_rate_bjq_12m_all,1635.6393222808838,99
stg_pln_sum_prc_amt_6m_12m_rto,1612.6570949554443,121
ord_apl_fal_cnt_360_day,1611.929000377655,70
12m_repay_amt_second_der_mean_rto,1589.9640712738037,128
3m_repay_amt_second_der_median,1574.4425625801086,125
d720_repaid_tot_fee_stddev,1573.8353204727173,110
m6_stg_pln_his_ovd_manual_deduct_rep_apl_fal_cnt_rat,1573.4934887886047,81
m3_stg_pln_rep_apl_amt_d0_min,1573.1156868934631,113
m6_pmt_not_eng_amt_pday_max,1569.8764824867249,121
m1_manual_rep_apl_suc_amt_sum,1564.4539613723755,84
3m_repay_amt_second_der_sum,1545.910161972046,119
ord_apl_cnt_13_18,1543.596167564392,98
bf_q3_q2_trend,1542.082278728485,118
stg_pln_sum_rep_prc_12m_his_d0_dwn_zd,1541.0902137756348,113
his_ovdrepay_amt_sum_divide_advrepay_amt_sum,1534.7986478805542,115
stg_pln_min_prc_amt_ftr,1533.4423532485962,110
stg_pln_sum_rep_prc_his_d0_dwn_zd_v2,1532.477307319641,110
his_30_day_csh_apl_ord_cnt_his_rto,1530.7376012802124,68
d720_due_repay_amt_larger_than_rsk_avl_lmt_cash_his_t_day_count_sum,1529.7393684387207,81
m6_payment_not_eng_mdl_crt_ddf_max,1522.7210760116577,120
stddev_amt_event_type_repay_event_result_1_recent_180,1516.842158794403,106
12m_repay_ftr_amt_second_der_min,1515.9722142219543,111
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,1486.5128498077393,92
ddf_3m_rep_dte_neg_3_crt_dt_max_prc_amt,1472.7093286514282,63
stg_pln_max_rep_prc_12m_his,1468.0969157218933,100
18m_repay_amt_second_der_median,1461.8702230453491,114
m6_stg_pln_rep_apl_fal_cnt_equal_1_cnt_rat,1459.0168108940125,115
12m_repay_ftr_amt_second_der_sum,1456.5455446243286,110
ord_apl_sum_prc_amt_180_day_13_18,1441.4397144317627,112
stg_pln_cnt_1m_3m_ftr_rto_all,1424.7587099075317,101
m3_rep_apl_suc_amt_avg,1416.6287851333618,102
ai_call_cnt_60d,1395.983723640442,89
