final_flag,n_samples,positive,bad_rate,dimension,dimension_value,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
OOT,15920,6569,0.412626,blue_customer_flag,E3,0.7984245259786706,0.4561773517481863,0.7777522758459555,0.4175052227679619,0.7851350891783753,0.4309251483869747,0.777658521855937,0.42014505121134665,0.8021652759933345,0.4566032413354195
OOT-OOS,16850,7106,0.421721,blue_customer_flag,E3,0.7978400009566604,0.4462405032958572,0.7717421587286181,0.40619282195636874,0.7826769174919597,0.42540792096412894,0.7709661234152133,0.410134628013885,0.7971563873033127,0.441073438944956
DEV,4395,1189,0.270535,zc_level,1,0.8966380320330835,0.6176846188837477,0.8484252299384903,0.5376087972811842,0.8396620608306251,0.5296591611351587,0.8415463121869371,0.5272690975237242,0.8609375188552582,0.5652385377081555
DEV-OOS,4156,1182,0.284408,zc_level,1,0.8614586426980816,0.569531540696186,0.8492159839002231,0.5388112300040466,0.8425432996858275,0.5475895436706391,0.8324870251713383,0.5128798145689034,0.8579476728374622,0.5590549568340166
OOT,1436,363,0.252786,zc_level,1,0.8242485860040719,0.49889986880582493,0.8128082485449257,0.47239402411816206,0.8004000010269603,0.48282280570681824,0.7945386252596284,0.443515901196152,0.8211394637726926,0.5007638017042406
OOT-OOS,1484,387,0.260782,zc_level,1,0.8401489615795015,0.5258880809536933,0.8253800004239893,0.49095371685522415,0.8075418277237192,0.4837341210112616,0.8166034215937759,0.4860519292691602,0.8351953530771026,0.5036945957850751
DEV,13690,4012,0.293061,zc_level,2,0.8983534259795526,0.6291193066800838,0.8604814493146534,0.5596453367622176,0.8627505193656476,0.5722970064800432,0.8487903720127075,0.5457329705448647,0.8739026256629986,0.5809122539387418
DEV-OOS,13777,4155,0.30159,zc_level,2,0.8723367353345135,0.5807766547830496,0.8615278288563487,0.5629805034137164,0.8584344939218586,0.5716739093995412,0.8520992180725029,0.5491384690269316,0.8741191778467966,0.5850482285756593
OOT,4943,1368,0.276755,zc_level,2,0.8663746779536254,0.572392140023719,0.8535989449147343,0.5495329816382448,0.8486397374555269,0.5495108984582668,0.8437210158262789,0.5387809266756635,0.8670114096429886,0.5681846808162597
OOT-OOS,4987,1452,0.291157,zc_level,2,0.8621395256408757,0.5600211969248873,0.8433070106262375,0.5300886965727192,0.8377825444882151,0.5221013010391948,0.84034049508847,0.5227900062733546,0.8603467489606104,0.5518175194142791
DEV,22015,5499,0.249784,zc_level,3,0.9033257043014183,0.6359649221323007,0.8759639601668482,0.5867456493145524,0.8716750928667935,0.583130396768236,0.8686685740567728,0.5795993159503978,0.8860510251076718,0.6026674371451584
DEV-OOS,22579,6149,0.272333,zc_level,3,0.8843090984515493,0.603824798395139,0.8731653861975954,0.5813503868943259,0.8690904076155906,0.5799102157243674,0.8653575338022393,0.568581632807595,0.885190868240876,0.600699379885214
OOT,7511,1877,0.2499,zc_level,3,0.8745564310150583,0.5900545039261399,0.8605888006339821,0.5610292898810375,0.8574521102469991,0.5582703499890024,0.8557763684184745,0.5540465273912536,0.8747697639852716,0.58741507579467
OOT-OOS,7983,2089,0.261681,zc_level,3,0.8659503632305403,0.5688762196279801,0.8525008881026443,0.5536390010936937,0.8464791819195958,0.5408350139478755,0.8484097059865507,0.539736396133836,0.8654649648172446,0.568040000760199
DEV,23208,6935,0.298819,zc_level,4,0.9053358363478307,0.6371698095903392,0.8747215083676653,0.582346805090307,0.8769655648158663,0.5897940510753404,0.8680470137968106,0.5720267439339698,0.8877414125095462,0.604530281381782
DEV-OOS,24464,7857,0.321166,zc_level,4,0.8801229133401816,0.5881648359163223,0.8681887581802014,0.568601249496749,0.870397345229342,0.5729574781643901,0.8607127414578709,0.5551348665948418,0.8805704988961668,0.5866112710996777
OOT,7483,1963,0.262328,zc_level,4,0.8747185245889535,0.585570370698502,0.865058021583704,0.5689826530095741,0.8668944046117905,0.5679431689554456,0.8647765823532452,0.5631162927196616,0.8778113394907233,0.5933220189446795
OOT-OOS,8005,2282,0.285072,zc_level,4,0.868618914437691,0.5774258672702044,0.8503394093839466,0.546334117834776,0.8555693748015871,0.556977067027997,0.8497591020319779,0.5378275124300472,0.8668281637374169,0.5766602403726955
DEV,20167,1678,0.083205,zc_level,5,0.9415494675151046,0.7503124461917923,0.920829975090735,0.6965557390219581,0.9001241339839924,0.6683552330925626,0.9213758739774466,0.7027288267462579,0.9311184352052644,0.7314554716069619
DEV-OOS,19992,1926,0.096339,zc_level,5,0.9295925755787104,0.725410255853149,0.9210260480813544,0.702132521743882,0.9045450660374289,0.6676819815746555,0.922242348610075,0.7101274213312007,0.9297914109554916,0.731365229533938
OOT,7000,481,0.068714,zc_level,5,0.9140280497850677,0.697211636926317,0.9137314595206909,0.6887875166752295,0.890820977797508,0.6562834560993788,0.9169845444580835,0.6909838792029313,0.920750443530011,0.7010988828752289
OOT-OOS,7021,577,0.082182,zc_level,5,0.922793575795522,0.7112155168054978,0.9101907351369058,0.6615456238361266,0.8992680036619989,0.6793494573163057,0.912666599967511,0.678805644039516,0.9182007472457014,0.7025212280820657
DEV,67275,6725,0.099963,zc_level,6,0.9565210305778198,0.7981971948587759,0.9450828918862949,0.7713720640924431,0.936245128453857,0.7666536918396729,0.9446605570375646,0.7666201701257678,0.9511823992583474,0.7895449089664445
DEV-OOS,66380,8027,0.120925,zc_level,6,0.9472715355899876,0.779453869692282,0.9432825033529477,0.7658885232414645,0.9347560288227531,0.7583576935733525,0.9425593009400344,0.7632086207191355,0.948833594156609,0.7815152103557508
OOT,22405,1558,0.069538,zc_level,6,0.9504909939541792,0.7967206888404441,0.947072203272731,0.7783510577705828,0.9329944562785298,0.7836188138373268,0.950462930207386,0.785254393015486,0.952713802800562,0.8000283623955522
OOT-OOS,21796,1770,0.081208,zc_level,6,0.9492235517555991,0.7936251799214693,0.9459621768662182,0.7840399370216571,0.936443414521574,0.7820972284053329,0.9459226310880601,0.7754830584646739,0.9519713355688453,0.7990850876910863
DEV,32989,2110,0.063961,zc_level,7,0.9713602505053742,0.8617383338022174,0.9655936618947873,0.8476586699722126,0.9527959000342109,0.8541161503492688,0.9672436857576945,0.8462398946261581,0.9704746043607912,0.8591307701717252
DEV-OOS,32132,2531,0.078769,zc_level,7,0.965683182000843,0.8553073138646808,0.966272234270652,0.8487023910627377,0.9568284057058042,0.8518308250155089,0.9678752096682799,0.8508788779346902,0.9715944970784953,0.8572080847002257
OOT,10395,285,0.027417,zc_level,7,0.9554087493709544,0.8339163933572804,0.9648189216860152,0.828127440262377,0.9400994325576553,0.8310531521682545,0.9644213649851631,0.8375032536831692,0.9696808787547504,0.8393044926857202
OOT-OOS,10075,332,0.032953,zc_level,7,0.9665898532032267,0.8720415893276483,0.9718333459054322,0.8628041881165224,0.9507559644304406,0.8705020224591273,0.9744730229550039,0.8607239179441774,0.9754293783983311,0.8763999856554412
