feature,split,gain,rank
stg_pln_sum_rep_prc_3m_his_ovd_7d_pls_14d_zd_rto_v2,1,8.531209945678711,723
min_ddf_rep_tim_dte_adv_bjq_12m,1,8.524279594421387,724
stg_pln_pay_off_sum_prc_amt_7d_1m_rto,1,8.461600303649902,725
dvc_num_log_mid_ngt_90,1,8.42136001586914,726
ord_apl_sum_prc_amt_1080_day_00_03,1,8.203880310058594,727
ddf_6m_rep_dte_neg_7_crt_dt_max_prc_amt,1,8.124139785766602,728
stg_pln_cnt_adv_2m_bjq_12m,1,8.109800338745117,729
m3_rep_apl_fal_stg_pln_cnt_avg,1,8.097970008850098,730
credit_fund_other_reject_cnt_24m,1,7.967130184173584,731
f54__percent_true_call_mode_is_manual_called_phone_social_relations_is_self_is_can_contact_person_is_no_90d,1,7.963210105895996,732
30stg_pln_repay_amt_first_der_mean_rto,1,7.865819931030273,733
d720_ovdrepay_amt_sum_divide_ontimrepay_amt_sum,1,7.714179992675781,734
credit_unique_scene_cnt_6m,1,7.643310070037842,735
d1080_due_repay_amt_larger_than_rsk_avl_lmt_cash_his_t_day_count_sum,1,7.601109981536865,736
m3_stg_pln_normal_batch_rep_apl_cnt_equal_2_cnt_rat,1,7.555540084838867,737
rsk_lmt_rate_ch_1m_grt_0p5_cnt_24m,1,7.374740123748779,738
3m_repay_ftr_amt_second_der_median,1,7.3609700202941895,739
m1_normal_batch_rep_apl_fal_cnt_rat,1,7.3360700607299805,740
used_rate_ch_grt_0p95_rate_3m_suc,1,7.2040300369262695,741
m3_pmt_not_eng_equal_1_stg_pln_amt_rat,1,7.162189960479736,742
3ord_apply_amt_second_der_great_0_sum,1,7.084099769592285,743
3stg_pln_repay_amt_first_der_mean_diff,1,6.943120002746582,744
d15_d30_suc_ord_cnt_rat,1,6.925220012664795,745
d720_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,1,6.878459930419922,746
d720_max_adv_repay_amt_divide_d720_max_faqi_prc_amt,1,6.871570110321045,747
m6_manual_weekend_day_rep_apl_fal_cnt,1,6.8017802238464355,748
cnt_event_type_credit_event_result_1_all,1,6.801390171051025,749
d365_aplord_amt_grt_fst_month_cnt,1,6.782040119171143,750
credit_fund_level1_reject_cnt_36m,1,6.710480213165283,751
m6_payment_not_eng_mdl_crt_ddf_max,1,6.674190044403076,752
mid_1_pmt_blc_not_eng_rat_3m,1,6.673449993133545,753
max_ddf_rep_tim_dte_adv_bjq_12m,1,6.631820201873779,754
d15_apl_ord_prc_amt_per_stg_sum,1,6.441810131072998,755
m6_manual_rep_apl_suc_amt_max,1,6.426249980926514,756
d365_aplord_fal_month_rto,1,6.282780170440674,757
m3_stg_pln_ovd_1d_3d_rep_apl_suc_cnt,1,6.156529903411865,758
light_d720_max_ontim_repay_amt_divide_heavy_d720_max_ontim_repay_amt,1,5.8585100173950195,759
6m_repay_amt_second_der_sum,1,5.764090061187744,760
percent_true_call_mode_is_ai_called_phone_social_relations_is_self_is_can_contact_person_is_no_60d,1,5.680170059204102,761
rsk_lmt_rate_ch_1m_grt_0p8_rate_1m,1,5.545400142669678,762
m6_payment_not_eng_inteday_max,1,5.1764302253723145,763
pst_ord_apl_suc_sum_prc_amt_90_180_day_rto,1,5.056119918823242,764
m6_pmt_not_eng_equal_1_stg_pln_d0_cnt_rat,1,4.709569931030273,765
3m_repay_amt_second_der_mean_diff,1,4.334410190582275,766
m6_stg_pln_rep_apl_cnt_d0_avg,1,4.021039962768555,767
stg_pln_pay_off_sum_prc_amt_6m_12m_rto,1,3.779949903488159,768
sum_day_diff_type_heavy_all,1,3.5473599433898926,769
credit_fund_level2_ratio_36m,1,2.8602399826049805,770
ord_apl_fal_cnt_90_day,1,2.859070062637329,771
6m_repay_ftr_amt_first_der_mean_rto,1,2.773240089416504,772
stg_pln_cnt_7d_ftr_his_rto_all,1,2.572429895401001,773
12ord_apply_amt_first_der_stddev,1,1.8860299587249756,774
18m_con_asc_repay_max,1,1.7248200178146362,775
d15_d30_apl_ord_prc_amt_avg_rat_all,1,1.0735000371932983,776
m6_normal_batch_rep_apl_suc_amt_min,1,0.685679018497467,777
his_prc_amt_3_000_flg_suc_ord_cnt,1,0.5956469774246216,778
min_ddf_mdl_rep_dte_ovd_pls_bjq,1,0.5722519755363464,779
3m_repay_amt_first_der_small_0_count,0,0.0,780
f54__percent_true_call_mode_is_manual_called_phone_social_relations_is_self_is_can_contact_person_is_no_30d,0,0.0,781
d90_repaid_tot_fee_stddev,0,0.0,782
mdt_lst_30d_60d_stg_cnt_advance_rte,0,0.0,783
3m_repay_amt_second_der_median,0,0.0,784
m1_payment_not_eng_mdl_crt_ddf_max,0,0.0,785
d365_avl_lmt_con_drp_month_max,0,0.0,786
recent_1m_prepay_3d_month_rto,0,0.0,787
stg_pln_min_prc_amt_6m_ftr_his_rep_rto_cash,0,0.0,788
rsk_lmt_rate_ch_1m_grt_0p8_cnt_1m,0,0.0,789
max_ddf_rep_tim_dte_ovd_pls_fst_ord_bjq_12m,0,0.0,790
m3_stg_pln_normal_batch_rep_apl_cnt_mor_0_cnt_rat,0,0.0,791
12m_repay_ftr_amt_second_der_max,0,0.0,792
d60_d90_suc_ord_prc_amt_avg_rat,0,0.0,793
stg_pln_cnt_his_fst_ord_bjq_12m,0,0.0,794
18m_repay_amt_second_der_avg,0,0.0,795
rsi_af_1y_inter_3m,0,0.0,796
stg_pln_min_prc_amt_12m_ftr_his_rto_cash,0,0.0,797
ddf_3m_rep_dte_5_crt_dt_max_prc_amt,0,0.0,798
stg_pln_sum_rep_prc_12m_his_ovd_3d_pls_7d_zd_rto_v2,0,0.0,799
light_d360_sum_faqi_count_divide_heavy_d360_sum_faqi_count,0,0.0,800
light_his_max_fail_prc_amt_divide_heavy_his_max_adv_repay_amt,0,0.0,801
recent_36m_settle_loan_diff_days_min,0,0.0,802
12stg_pln_repay_amt_second_der_mean_rto,0,0.0,803
m3_pmt_not_eng_equal_1_stg_pln_amt_sum,0,0.0,804
m3_manual_rep_apl_suc_cnt,0,0.0,805
12m_used_lmt_first_der_small_0_sum,0,0.0,806
stg_pln_min_prc_amt_bjq_12m_his_bjq_12m,0,0.0,807
m3_stg_pln_manual_rep_apl_cnt_mor_0_cnt,0,0.0,808
mdt_lst_60d_180d_stg_cnt_ever_overdue_rte_rte,0,0.0,809
stg_pln_sum_rep_prc_3m_his_d0_mrn_zd_rto_v2,0,0.0,810
f54__percent_true_call_mode_is_manual_called_phone_social_relations_is_friend_180d,0,0.0,811
heavy_unpaid_principal_future_divide_his_light_limit_max,0,0.0,812
m3_stg_pln_manual_deduct_rep_apl_cnt_equal_1_cnt_rat,0,0.0,813
used_rate_ch_grt_0p95_rate_1m,0,0.0,814
stg_pln_sum_prc_amt_his_fst_ord_bjq_12m,0,0.0,815
d365_aplord_amt_grt_fst_month_rto,0,0.0,816
18m_repay_ftr_amt_second_der_small_0_count,0,0.0,817
