feature,rank,gain,split_importance,bin_order,bin_label,lower_bound,upper_bound,is_missing_bin,split_value,good,bad,total,bad_rate,pop_pct,woe,iv_component,status,skip_reason
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,1,"(1600, 5000]",1600.0,5000.0,False,DEV,216432,173752,390184,0.445307854755705,0.10838444444444445,1.492005262294462,0.3649186795037918,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,2,"(5000, 12600]",5000.0,12600.0,False,DEV,182703,141065,323768,0.435697783598132,0.08993555555555556,1.4530118112342914,0.28519646674755456,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,3,"(12600, inf]",12600.0,inf,False,DEV,213349,145228,358577,0.4050120336775644,0.09960472222222222,1.3270288080599446,0.25716519213416694,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,0,"(-inf, 1600]",-inf,1600.0,False,OOT,849380,25108,874488,0.028711657564197565,0.72874,-1.606072111707552,1.042529822329098,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,1,"(1600, 5000]",1600.0,5000.0,False,OOT,64931,44845,109776,0.4085137006267308,0.09148,1.5451190952650793,0.3538083619063864,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,2,"(5000, 12600]",5000.0,12600.0,False,OOT,57680,39537,97217,0.4066881306767335,0.08101416666666666,1.5375591414744605,0.30976609462311316,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,3,"(12600, inf]",12600.0,inf,False,OOT,73937,44582,118519,0.37615909685366905,0.09876583333333333,1.4093499779036913,0.3081783795830945,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,0,"(-inf, 1600]",-inf,1600.0,False,DEV-OOS,2327046,100436,2427482,0.04137456014091968,0.6743005555555556,-1.5823906932412524,0.9833768313835689,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,1,"(1600, 5000]",1600.0,5000.0,False,DEV-OOS,232579,199652,432231,0.4619104136445558,0.12006416666666667,1.4077850189437906,0.33972498266910084,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,2,"(5000, 12600]",5000.0,12600.0,False,DEV-OOS,193216,162485,355701,0.45680220184930603,0.09880583333333333,1.3872162108251023,0.270608531567131,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,3,"(12600, inf]",12600.0,inf,False,DEV-OOS,222259,162327,384586,0.42208244709895837,0.10682944444444445,1.2462090470041196,0.23062122405567273,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,0,"(-inf, 1600]",-inf,1600.0,False,OOT-OOS,805932,26266,832198,0.031562200341745596,0.6934983333333333,-1.632292227058674,1.0290073368724486,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,1,"(1600, 5000]",1600.0,5000.0,False,OOT-OOS,75333,51954,127287,0.40816422729736734,0.1060725,1.4198568145991601,0.3261876012625357,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,2,"(5000, 12600]",5000.0,12600.0,False,OOT-OOS,64947,44743,109690,0.40790409335399763,0.09140833333333333,1.4187803335902374,0.28060517952861996,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,3,"(12600, inf]",12600.0,inf,False,OOT-OOS,82310,48515,130825,0.37083890693674754,0.10902083333333333,1.2627980549977094,0.2562146780353014,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,0,"(-inf, 789.52]",-inf,789.52001953125,False,DEV,2450889,69113,2520002,0.027425771884308028,0.7000005555555555,-1.8568041081480517,1.2593082194747078,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,1,"(789.52, 5014.68]",789.52001953125,5014.684179687503,False,DEV,242237,117761,359998,0.3271157061983678,0.09999944444444445,0.9903948528212735,0.1331417185250932,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,2,"(5014.68, 15710.7]",5014.684179687503,15710.718945312508,False,DEV,193011,166989,360000,0.4638583333333333,0.1,1.5668332735690818,0.37600978903159726,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,3,"(15710.7, inf]",15710.718945312508,inf,False,DEV,163246,196754,360000,0.5465388888888889,0.1,1.8983475402862129,0.5767161886792226,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,0,"(-inf, 789.52]",-inf,789.52001953125,False,OOT,875177,26240,901417,0.029109723912462266,0.7511808333333333,-1.5918939898575828,1.060893469248872,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,1,"(789.52, 5014.68]",789.52001953125,5014.684179687503,False,OOT,69744,39233,108977,0.36001174559769494,0.09081416666666667,1.339921123429409,0.2518499966313252,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,2,"(5014.68, 15710.7]",5014.684179687503,15710.718945312508,False,OOT,55208,43552,98760,0.4409882543539895,0.0823,1.6780788942941984,0.38577101762146143,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,3,"(15710.7, inf]",15710.718945312508,inf,False,OOT,45799,45047,90846,0.49586112762257006,0.075705,1.8986730288866174,0.4719862644093446,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,0,"(-inf, 789.52]",-inf,789.52001953125,False,DEV-OOS,2340867,77689,2418556,0.032122059609122136,0.6718211111111111,-1.845117987374216,1.2223842973421648,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,1,"(789.52, 5014.68]",789.52001953125,5014.684179687503,False,DEV-OOS,259913,137271,397184,0.34561059861424426,0.11032888888888889,0.9220505988840888,0.12199278690695604,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,2,"(5014.68, 15710.7]",5014.684179687503,15710.718945312508,False,DEV-OOS,203339,190246,393585,0.48336699823418067,0.10932916666666667,1.4938823694823746,0.35269825974193286,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,3,"(15710.7, inf]",15710.718945312508,inf,False,DEV-OOS,170981,219694,390675,0.5623446598835349,0.10852083333333333,1.8111213470885164,0.5326426796401869,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,0,"(-inf, 789.52]",-inf,789.52001953125,False,OOT-OOS,838209,29275,867484,0.033747020117950305,0.7229033333333333,-1.5631036784352654,1.007015396257363,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,1,"(789.52, 5014.68]",789.52001953125,5014.684179687503,False,OOT-OOS,79952,46394,126346,0.3671980118088424,0.10528833333333333,1.247161611433934,0.24047550146255667,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,2,"(5014.68, 15710.7]",5014.684179687503,15710.718945312508,False,OOT-OOS,60764,48066,108830,0.44166130662501146,0.09069166666666667,1.5569931339471994,0.34444503391909176,ok,
unpaid_principal_future_light_add_heavy,4,1851464.8080728054,185,3,"(15710.7, inf]",15710.718945312508,inf,False,OOT-OOS,49597,47743,97340,0.490476679679474,0.08111666666666667,1.7533159048163574,0.40361018056596915,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,0,Missing,,,True,DEV,6212,46,6258,0.007350591243208693,0.0017383333333333333,-3.1832142478091123,0.006216326050669764,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,DEV,2695201,190168,2885369,0.06590768806346779,0.8014913888888889,-0.939665617381064,0.5059898577689833,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,DEV,168480,219056,387536,0.5652532925973329,0.10764888888888889,1.9741617813200576,0.6763204827977466,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,3,"(0.333333, inf]",0.3333333432674408,inf,False,DEV,179490,141347,320837,0.4405570429844438,0.08912138888888889,1.4727512256554074,0.29137695224931986,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,0,Missing,,,True,OOT,2087,10,2097,0.004768717215069146,0.0017475,-3.3771184852637672,0.0065100118322128035,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,OOT,935680,53303,988983,0.05389678083445317,0.8241525,-0.9500433626969664,0.5212237261826647,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,OOT,60092,63663,123755,0.5144276998909135,0.10312916666666666,1.9729550724787244,0.7018731360815857,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,3,"(0.333333, inf]",0.3333333432674408,inf,False,OOT,48069,37096,85165,0.43557799565549227,0.07097083333333333,1.6561034594842938,0.32262890677776024,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,0,Missing,,,True,DEV-OOS,5876,51,5927,0.008604690399865025,0.0016463888888888889,-3.1766960522389405,0.006012893088107437,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,DEV-OOS,2587347,210542,2797889,0.07525030478335631,0.7771913888888888,-0.9482621999935583,0.5051828867163282,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,DEV-OOS,176613,248197,424810,0.5842541371436643,0.11800277777777778,1.9006998366726167,0.6420838329394926,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,3,"(0.333333, inf]",0.3333333432674408,inf,False,DEV-OOS,205264,166110,371374,0.4472849472499421,0.10315944444444444,1.3487926038248519,0.26547526160536833,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,0,Missing,,,True,OOT-OOS,1933,6,1939,0.0030943785456420837,0.0016158333333333333,-3.9038715321009643,0.007190826171796206,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,OOT-OOS,900464,57332,957796,0.059858257917134755,0.7981633333333333,-0.9626296860951045,0.5209296398500978,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,OOT-OOS,63017,67459,130476,0.5170222876237776,0.10873,1.8595283542550411,0.6175975136749112,ok,
his_90_day_csh_apl_ord_cnt_his_rto,5,1488565.2666397095,64,3,"(0.333333, inf]",0.3333333432674408,inf,False,OOT-OOS,63108,46681,109789,0.42518831576933935,0.09149083333333333,1.489905875333369,0.3141746140793515,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,0,Missing,,,True,DEV,1980153,17721,1997874,0.008869928734244501,0.554965,-3.0045011765272363,1.8543080436074366,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,1,"(-inf, 1]",-inf,1.0,False,DEV,696154,102916,799070,0.1287947238664948,0.22196388888888888,-0.200003760917186,0.008276807059631491,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,2,"(1, 2]",1.0,2.0,False,DEV,135498,66137,201635,0.3280035708086394,0.056009722222222225,0.9944252157842295,0.07525791475761402,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,3,"(2, 3]",2.0,3.0,False,DEV,75970,57468,133438,0.43067192254080544,0.03706611111111111,1.4325417422677524,0.11382555670654655,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,4,"(3, 5]",3.0,5.0,False,DEV,75836,91132,166968,0.5458051842269177,0.04638,1.8953846620776966,0.2665655758030653,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,5,"(5, 9]",5.0,9.0,False,DEV,50421,105209,155630,0.6760200475486732,0.04323055555555556,2.447185806694286,0.4271305087646772,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,6,"(9, inf]",9.0,inf,False,DEV,35351,110034,145385,0.7568456168105375,0.040384722222222225,2.8471030064271643,0.5359508750458659,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,0,Missing,,,True,OOT,716257,5961,722218,0.00825374056032943,0.6018483333333333,-2.8734971990213505,1.856599242193271,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,1,"(-inf, 1]",-inf,1.0,False,OOT,202370,27525,229895,0.11972857173927227,0.19157916666666666,-0.07976691516152022,0.0011832690960682062,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,2,"(1, 2]",1.0,2.0,False,OOT,42083,17092,59175,0.28883819180397124,0.0493125,1.0142044438231703,0.07170470635214078,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,3,"(2, 3]",2.0,3.0,False,OOT,24839,15106,39945,0.3781699837276255,0.0332875,1.417910399628873,0.10534705700392298,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,4,"(3, 5]",3.0,5.0,False,OOT,26480,24079,50559,0.47625546391344764,0.0421325,1.8201726559325888,0.2383809985247826,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,5,"(5, 9]",5.0,9.0,False,OOT,19832,28941,48773,0.5933815840731552,0.04064416666666667,2.293174957934292,0.3872671700472087,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,6,"(9, inf]",9.0,inf,False,OOT,14067,35368,49435,0.715444523111156,0.041195833333333334,2.837174834064693,0.6131228733627683,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,0,Missing,,,True,DEV-OOS,1879540,19228,1898768,0.01012656627876602,0.5274355555555555,-3.021952188142981,1.8161509264224118,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,1,"(-inf, 1]",-inf,1.0,False,DEV-OOS,699450,114115,813565,0.14026537523123536,0.22599027777777778,-0.2526470639033427,0.013260999009473116,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,2,"(1, 2]",1.0,2.0,False,DEV-OOS,141712,75082,216794,0.34632877293652037,0.060220555555555555,0.9252240211109413,0.06709516851719709,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,3,"(2, 3]",2.0,3.0,False,DEV-OOS,79546,65263,144809,0.45068331388242444,0.040224722222222224,1.362528034499414,0.10586888615618656,ok,
d180_apl_ord_days_cnt_all,6,913489.8355054855,109,4,"(3, 5]",3.0,5.0,False,DEV-OOS,82420,103549,185969,0.5568078550726197,0.051658055555555554,1.7886524363387715,0.24683650253401013,ok,
