score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
gcard_v2,3,5783,181,0.031298633927027496,B2,2,783233.4000000001,38265.490000000005
gcard_v2,3,9503,245,0.025781332210880775,B2,3,619065.5599999999,9727.6
gcard_v2,3,7123,162,0.022743226168749124,B2,4,229817.01,15057.04
gcard_v2,3,15884,351,0.022097708385797027,B2,5,556226.14,42187.880000000005
gcard_v2,3,34861,751,0.02154269814405783,B2,6,441417.74000000005,9425.61
gcard_v2,3,15992,250,0.015632816408204103,B2,7,178204.49,610.34
gcard_v2,3,7,0,0.0,E2,1,0.0,0.0
gcard_v2,3,20,2,0.1,E2,2,28707.56,0.0
gcard_v2,3,174,16,0.09195402298850575,E2,3,2051.07,0.0
gcard_v2,3,249,25,0.10040160642570281,E2,4,7696.83,54.300000000000004
gcard_v2,3,96,8,0.08333333333333333,E2,5,197.3,0.0
gcard_v2,3,550,24,0.04363636363636364,E2,6,5811.660000000001,0.0
gcard_v2,3,33,0,0.0,E2,7,0.0,0.0
gcard_v2,3,63,1,0.015873015873015872,E3,1,0.0,0.0
gcard_v2,3,827,53,0.06408706166868199,E3,2,356624.98,2275.89
gcard_v2,3,2056,155,0.07538910505836575,E3,3,487038.81000000006,0.0
gcard_v2,3,1957,138,0.07051609606540624,E3,4,336513.65,11886.0
gcard_v2,3,178,18,0.10112359550561797,E3,5,16265.619999999999,935.47
gcard_v2,3,709,37,0.05218617771509168,E3,6,22389.23,317.91
gcard_v2,3,127,9,0.07086614173228346,E3,7,244.59,0.0
gcard_v2,4,2635,242,0.09184060721062619,B2,1,1622115.26,5277.55
gcard_v2,4,4700,451,0.09595744680851064,B2,2,1162381.48,54061.22
gcard_v2,4,5577,518,0.09288147749686211,B2,3,897190.29,38412.94
gcard_v2,4,3037,275,0.09054988475469213,B2,4,310813.60000000003,0.0
gcard_v2,4,6538,586,0.0896298562251453,B2,5,549664.27,22681.48
gcard_v2,4,10062,986,0.09799244682965613,B2,6,508946.50000000006,6505.880000000001
gcard_v2,4,3293,277,0.0841178256908594,B2,7,73841.92,0.0
