final_flag,n_samples,positive,bad_rate,dimension,dimension_value,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV-OOS,39506,3897,0.098643,zc_level,5,0.929320443441708,0.7255652522244764,0.9215789285094433,0.699654089267906,0.9022953737060009,0.6676064755986075,0.92187595719376,0.709760911991749,0.9300188523640415,0.7282513849545422
OOT,14056,933,0.066377,zc_level,5,0.920459313189683,0.7133588630746488,0.9135939379401374,0.6828830100298446,0.8918215394471585,0.6605343996071795,0.916244308631034,0.6911726210880171,0.9217139932270799,0.7060748255498985
OOT-OOS,13851,1110,0.080139,zc_level,5,0.9238295748067352,0.7137780351578327,0.9101504924668117,0.6666469652100353,0.8980604220891482,0.6735211076393087,0.9148326923580044,0.6820038310031246,0.9204616436544857,0.7059734799551141
DEV,133359,13342,0.100046,zc_level,6,0.9631913151607975,0.805337982855367,0.9458352954554469,0.7715636873159821,0.9359808505342572,0.7662582808014156,0.9452483682085476,0.7674457512363084,0.9515724513728665,0.7887138520314079
DEV-OOS,132387,15841,0.119657,zc_level,6,0.9483127437710491,0.7789022969411159,0.9434269504407079,0.7648146026066887,0.9339949340820454,0.7562522679426598,0.9428211634868628,0.7621687804098715,0.9489242437866274,0.7804877956831825
OOT,44524,3053,0.06857,zc_level,6,0.9499471266165157,0.793449560919934,0.9465839067154312,0.7783769431612201,0.9319189128985617,0.7808180560162077,0.9483133620901375,0.7827852000462234,0.9509973002890751,0.7961905005019194
OOT-OOS,43828,3501,0.07988,zc_level,6,0.9479246732370186,0.7860107871223301,0.9435496476323674,0.7710183127177992,0.9311345793553297,0.7751735744238295,0.944691921462637,0.7680659055523014,0.9494837288712334,0.7898783627790258
DEV,65806,4142,0.062943,zc_level,7,0.9779750827806687,0.8652226473927519,0.9663009748079281,0.8486079559739013,0.9530223111270198,0.8547513814213982,0.9679319579173887,0.8492228377046604,0.9707112799522002,0.8591267073258433
DEV-OOS,64281,5039,0.07839,zc_level,7,0.9664330604392319,0.8556765952487313,0.9654181184376776,0.8496291123709006,0.9558029942995059,0.8516276764942976,0.9669856457198418,0.8491075207386638,0.9701893325642247,0.8563417322870202
OOT,20921,609,0.02911,zc_level,7,0.9538842658792137,0.8322257350197348,0.9584206412801025,0.8061762773314294,0.9331633415273458,0.8230135340252003,0.9586712474236072,0.8181396487374948,0.9619324013371697,0.8263989805018719
OOT-OOS,19906,640,0.032151,zc_level,7,0.9658561390532544,0.863326261289318,0.9711785459382299,0.8496548955359461,0.9501652441477213,0.8614095102771723,0.9729896173959306,0.8496196343299076,0.9748996775407454,0.8627515766116475
