score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
gcard_v4,2,55587,251,0.004515444258549661,B2,7,150553.30000000002,610.34
gcard_v4,2,2,0,0.0,E3,2,0.0,0.0
gcard_v4,2,13,0,0.0,E3,3,0.0,0.0
gcard_v4,2,42,0,0.0,E3,4,0.0,0.0
gcard_v4,2,7,0,0.0,E3,5,0.0,0.0
gcard_v4,2,51,1,0.0196078431372549,E3,6,0.0,0.0
gcard_v4,2,1,0,0.0,E3,7,0.0,0.0
gcard_v4,3,1961,111,0.05660377358490566,B2,1,382861.29000000004,0.0
gcard_v4,3,7957,391,0.04913912278496921,B2,2,770464.34,2396.08
gcard_v4,3,16012,648,0.040469647764176865,B2,3,1195948.98,14135.54
gcard_v4,3,12282,389,0.03167236606415893,B2,4,610269.54,4888.83
gcard_v4,3,34681,1046,0.030160606672241286,B2,5,1451331.8599999999,39020.2
gcard_v4,3,86835,1613,0.018575459204237924,B2,6,1097660.38,19542.989999999998
gcard_v4,3,33640,361,0.010731272294887038,B2,7,201133.37,604.77
gcard_v4,3,8,1,0.125,E2,3,0.0,0.0
gcard_v4,3,7,2,0.2857142857142857,E2,4,0.0,0.0
gcard_v4,3,5,0,0.0,E2,5,0.0,0.0
gcard_v4,3,13,0,0.0,E2,6,0.0,0.0
gcard_v4,3,3,0,0.0,E3,1,0.0,0.0
gcard_v4,3,60,10,0.16666666666666666,E3,2,979.0400000000001,0.0
gcard_v4,3,351,37,0.10541310541310542,E3,3,4540.43,0.0
gcard_v4,3,622,40,0.06430868167202572,E3,4,4940.9800000000005,0.0
gcard_v4,3,87,11,0.12643678160919541,E3,5,0.0,0.0
gcard_v4,3,191,13,0.06806282722513089,E3,6,0.0,0.0
gcard_v4,3,10,0,0.0,E3,7,0.0,0.0
gcard_v4,4,6889,622,0.09028886630860793,B2,1,4304118.58,86515.75000000001
gcard_v4,4,13082,980,0.07491209295214799,B2,2,3633295.0100000002,155211.24
gcard_v4,4,13900,1043,0.07503597122302158,B2,3,2417618.1,62049.18
gcard_v4,4,7984,515,0.06450400801603207,B2,4,526766.81,15828.08
gcard_v4,4,8989,1039,0.11558571587495828,B2,5,749983.14,45363.04
gcard_v4,4,10683,1828,0.171112983244407,B2,6,474168.80000000005,16013.54
gcard_v4,4,3055,582,0.1905073649754501,B2,7,123481.61,12595.050000000001
gcard_v4,4,53,7,0.1320754716981132,E2,1,15340.03,0.0
gcard_v4,4,261,44,0.1685823754789272,E2,2,319683.75,0.0
gcard_v4,4,3866,695,0.17977237454733574,E2,3,1030041.6000000001,20649.48
gcard_v4,4,4633,822,0.17742283617526441,E2,4,665475.31,6449.7
gcard_v4,4,1799,321,0.1784324624791551,E2,5,182820.95,7903.41
gcard_v4,4,9124,1593,0.17459447610697063,E2,6,583944.72,9414.71
gcard_v4,4,482,105,0.21784232365145229,E2,7,11336.810000000001,863.1800000000001
gcard_v4,4,3525,618,0.1753191489361702,E3,1,4497113.55,36749.31
gcard_v4,4,18713,3209,0.1714850638593491,E3,2,13990167.010000002,155935.36000000002
gcard_v4,4,30302,4892,0.16144148901062635,E3,3,10637986.650000002,269159.75
gcard_v4,4,33561,5990,0.17848097494115192,E3,4,7622888.99,172340.52000000002
gcard_v4,4,4543,870,0.1915034118423949,E3,5,947758.0499999999,37453.09
gcard_v4,4,16351,3209,0.1962571096569017,E3,6,2125835.37,76146.87
gcard_v4,4,2944,573,0.19463315217391305,E3,7,167499.12000000002,2497.81
gcard_v4,5,572,148,0.25874125874125875,B2,1,789649.4,0.0
gcard_v4,5,608,220,0.3618421052631579,B2,2,215030.68,10695.41
gcard_v4,5,531,206,0.3879472693032015,B2,3,111929.23,8462.130000000001
gcard_v4,5,270,106,0.3925925925925926,B2,4,33449.53,492.3
gcard_v4,5,472,205,0.4343220338983051,B2,5,50437.79000000001,0.0
gcard_v4,5,925,538,0.5816216216216217,B2,6,115196.43000000001,26315.940000000002
gcard_v4,5,369,229,0.6205962059620597,B2,7,14105.68,0.0
