final_flag,n_samples,positive,bad_rate,dimension,dimension_value,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,22015,5499,0.249784,zc_level,3,0.9072182084142117,0.6427871075086156,0.8759639601668482,0.5867456493145524,0.8716750928667935,0.583130396768236,0.8686685740567728,0.5795993159503978,0.8860510251076718,0.6026674371451584
DEV-OOS,22579,6149,0.272333,zc_level,3,0.8846032196794416,0.6060339369048622,0.8731653861975954,0.5813503868943259,0.8690904076155906,0.5799102157243674,0.8653575338022393,0.568581632807595,0.885190868240876,0.600699379885214
OOT,7511,1877,0.2499,zc_level,3,0.8747380855521948,0.5861442505346091,0.8605888006339821,0.5610292898810375,0.8574521102469991,0.5582703499890024,0.8557763684184745,0.5540465273912536,0.8747697639852716,0.58741507579467
OOT-OOS,7983,2089,0.261681,zc_level,3,0.8658592368154615,0.5755175647383332,0.8525008881026443,0.5536390010936937,0.8464791819195958,0.5408350139478755,0.8484097059865507,0.539736396133836,0.8654649648172446,0.568040000760199
DEV,23208,6935,0.298819,zc_level,4,0.9096418619028755,0.6498760625025836,0.8747215083676653,0.582346805090307,0.8769655648158663,0.5897940510753404,0.8680470137968106,0.5720267439339698,0.8877414125095462,0.604530281381782
DEV-OOS,24464,7857,0.321166,zc_level,4,0.8804079505737834,0.5911234077485754,0.8681887581802014,0.568601249496749,0.870397345229342,0.5729574781643901,0.8607127414578709,0.5551348665948418,0.8805704988961668,0.5866112710996777
OOT,7483,1963,0.262328,zc_level,4,0.8757357121235613,0.5825710425480077,0.865058021583704,0.5689826530095741,0.8668944046117905,0.5679431689554456,0.8647765823532452,0.5631162927196616,0.8778113394907233,0.5933220189446795
OOT-OOS,8005,2282,0.285072,zc_level,4,0.8674960103020808,0.5694487685420837,0.8503394093839466,0.546334117834776,0.8555693748015871,0.556977067027997,0.8497591020319779,0.5378275124300472,0.8668281637374169,0.5766602403726955
DEV,20167,1678,0.083205,zc_level,5,0.9438754003201725,0.7540234115301364,0.920829975090735,0.6965557390219581,0.9001241339839924,0.6683552330925626,0.9213758739774466,0.7027288267462579,0.9311184352052644,0.7314554716069619
DEV-OOS,19992,1926,0.096339,zc_level,5,0.9295499259148899,0.7275814226341422,0.9210260480813544,0.702132521743882,0.9045450660374289,0.6676819815746555,0.922242348610075,0.7101274213312007,0.9297914109554916,0.731365229533938
OOT,7000,481,0.068714,zc_level,5,0.9133222925215562,0.6987491225871345,0.9137314595206909,0.6887875166752295,0.890820977797508,0.6562834560993788,0.9169845444580835,0.6909838792029313,0.920750443530011,0.7010988828752289
OOT-OOS,7021,577,0.082182,zc_level,5,0.9221771465025438,0.7130502814811946,0.9101907351369058,0.6615456238361266,0.8992680036619989,0.6793494573163057,0.912666599967511,0.678805644039516,0.9182007472457014,0.7025212280820657
DEV,67275,6725,0.099963,zc_level,6,0.9578181772414577,0.7994203690458284,0.9450828918862949,0.7713720640924431,0.936245128453857,0.7666536918396729,0.9446605570375646,0.7666201701257678,0.9511823992583474,0.7895449089664445
DEV-OOS,66380,8027,0.120925,zc_level,6,0.9477498772303424,0.7792537072373797,0.9432825033529477,0.7658885232414645,0.9347560288227531,0.7583576935733525,0.9425593009400344,0.7632086207191355,0.948833594156609,0.7815152103557508
OOT,22405,1558,0.069538,zc_level,6,0.9509439856234799,0.7971570547025388,0.947072203272731,0.7783510577705828,0.9329944562785298,0.7836188138373268,0.950462930207386,0.785254393015486,0.952713802800562,0.8000283623955522
OOT-OOS,21796,1770,0.081208,zc_level,6,0.9490871471606686,0.7933044104810638,0.9459621768662182,0.7840399370216571,0.936443414521574,0.7820972284053329,0.9459226310880601,0.7754830584646739,0.9519713355688453,0.7990850876910863
DEV,32989,2110,0.063961,zc_level,7,0.9720102804571703,0.8625217923682854,0.9655936618947873,0.8476586699722126,0.9527959000342109,0.8541161503492688,0.9672436857576945,0.8462398946261581,0.9704746043607912,0.8591307701717252
DEV-OOS,32132,2531,0.078769,zc_level,7,0.9664572129485466,0.8562400271296909,0.966272234270652,0.8487023910627377,0.9568284057058042,0.8518308250155089,0.9678752096682799,0.8508788779346902,0.9715944970784953,0.8572080847002257
OOT,10395,285,0.027417,zc_level,7,0.9591830218473978,0.8353011609141547,0.9648189216860152,0.828127440262377,0.9400994325576553,0.8310531521682545,0.9644213649851631,0.8375032536831692,0.9696808787547504,0.8393044926857202
OOT-OOS,10075,332,0.032953,zc_level,7,0.9671042787592946,0.8726299017274064,0.9718333459054322,0.8628041881165224,0.9507559644304406,0.8705020224591273,0.9744730229550039,0.8607239179441774,0.9754293783983311,0.8763999856554412
