segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
流失户,DEV-OOS,gcard_v2,低意愿,2,3656,0.0015811090338152343,0.004743327101445703,0.039622845995448144
流失户,DEV-OOS,gcard_v2,低意愿,3,16363,0.00707650085347885,0.021229502560436552,0.10054564894126901
流失户,DEV-OOS,gcard_v2,低意愿,4,24770,0.010712273185887132,0.03213681955766139,0.18528214948237687
流失户,DEV-OOS,gcard_v2,低意愿,5,66084,0.02857932423157712,0.08573797269473135,0.20273093453671975
流失户,DEV-OOS,gcard_v2,低意愿,6,382903,0.16559392570430925,0.49678177711292776,0.3806242028972541
流失户,DEV-OOS,gcard_v2,低意愿,7,275826,0.119286373184114,0.357859119552342,0.4971656299511353
流失户,DEV-OOS,gcard_v2,中意愿,1,3347,0.0014474759125217695,0.004342427737565309,0.09083260963960052
流失户,DEV-OOS,gcard_v2,中意愿,2,18508,0.008004148248865525,0.024012444746596574,0.20058523897258046
流失户,DEV-OOS,gcard_v2,中意愿,3,48941,0.02116549705250311,0.06349649115750934,0.300727531921692
流失户,DEV-OOS,gcard_v2,中意愿,4,48771,0.021091977212309296,0.06327593163692789,0.3648120998144935
流失户,DEV-OOS,gcard_v2,中意愿,5,125312,0.054193636555102474,0.16258090966530742,0.3844291941871773
流失户,DEV-OOS,gcard_v2,中意愿,6,362502,0.15677111241140318,0.47031333723420954,0.3603446167793421
流失户,DEV-OOS,gcard_v2,中意愿,7,163386,0.07065948594062797,0.2119784578218839,0.29449690607555556
流失户,DEV-OOS,gcard_v2,高意愿,1,32336,0.013984338544160124,0.04195301563248038,0.8775510204081632
流失户,DEV-OOS,gcard_v2,高意愿,2,70106,0.030318717156633153,0.09095615146989947,0.7597919150319714
流失户,DEV-OOS,gcard_v2,高意愿,3,97438,0.042138977581205904,0.12641693274361773,0.598726819137039
流失户,DEV-OOS,gcard_v2,高意愿,4,60147,0.026011751930220157,0.07803525579066047,0.44990575070312966
流失户,DEV-OOS,gcard_v2,高意愿,5,134573,0.058198737967072624,0.17459621390121788,0.41283987127610294
流失户,DEV-OOS,gcard_v2,高意愿,6,260582,0.11269380586696974,0.3380814176009092,0.2590311803234038
流失户,DEV-OOS,gcard_v2,高意愿,7,115585,0.049987004287071625,0.14996101286121485,0.20833746397330916
流失户,DEV-OOS,gcard_v2,低意愿,合计,770767,0.3333333333333333,1.0,
流失户,DEV-OOS,gcard_v2,中意愿,合计,770767,0.3333333333333333,1.0,
流失户,DEV-OOS,gcard_v2,高意愿,合计,770767,0.3333333333333333,1.0,
流失户,DEV-OOS,gcard_v2,合计,1,36848,0.01593564159683363,,1.0
流失户,DEV-OOS,gcard_v2,合计,2,92270,0.03990397443931391,,1.0
流失户,DEV-OOS,gcard_v2,合计,3,162742,0.07038097548718787,,1.0
流失户,DEV-OOS,gcard_v2,合计,4,133688,0.057816002328416584,,1.0
流失户,DEV-OOS,gcard_v2,合计,5,325969,0.1409716987537522,,1.0
流失户,DEV-OOS,gcard_v2,合计,6,1005987,0.4350588439826822,,1.0
流失户,DEV-OOS,gcard_v2,合计,7,554797,0.2399328634118136,,1.0
流失户,DEV-OOS,gcard_v4,低意愿,1,1318,0.0005699949963261703,0.0016492977345306384,0.03576856274424663
流失户,DEV-OOS,gcard_v4,低意愿,2,8920,0.0038576292619343245,0.01116216676177033,0.09667280806329251
流失户,DEV-OOS,gcard_v4,低意愿,3,29855,0.012911381346978616,0.037359471824288476,0.18344987772056384
流失户,DEV-OOS,gcard_v4,低意愿,4,36913,0.01596375212396656,0.04619159884273859,0.27611303931542097
流失户,DEV-OOS,gcard_v4,低意愿,5,91875,0.03973314892827534,0.11496906628224765,0.28185195524727813
流失户,DEV-OOS,gcard_v4,低意愿,6,369816,0.15993419541833007,0.4627744241222933,0.3676150884653579
流失户,DEV-OOS,gcard_v4,低意愿,7,260431,0.1126285029500917,0.32589397443213103,0.4694167416190066
流失户,DEV-OOS,gcard_v4,中意愿,1,2422,0.0010474414879377727,0.0032623219327169673,0.06572948328267478
流失户,DEV-OOS,gcard_v4,中意愿,2,9554,0.004131815018892437,0.012868795931122175,0.1035439471117373
流失户,DEV-OOS,gcard_v4,中意愿,3,29781,0.012879378593011895,0.04011362901661602,0.18299517026950635
流失户,DEV-OOS,gcard_v4,中意愿,4,29435,0.012729744094735072,0.03964758302622788,0.22017682963317575
流失户,DEV-OOS,gcard_v4,中意愿,5,98707,0.04268778156477033,0.13295376177237558,0.30281100350033285
流失户,DEV-OOS,gcard_v4,中意愿,6,362959,0.1569687510406301,0.48888897868580417,0.3607988970036392
流失户,DEV-OOS,gcard_v4,中意愿,7,209558,0.09062747453726828,0.28226492963513716,0.377720139077897
流失户,DEV-OOS,gcard_v4,高意愿,1,33108,0.014318205112569687,0.04295517264196109,0.8985019539730786
流失户,DEV-OOS,gcard_v4,高意愿,2,73796,0.03191453015848715,0.0957448326774846,0.7997832448249702
流失户,DEV-OOS,gcard_v4,高意愿,3,103106,0.04459021554719736,0.13377238221644436,0.6335549520099298
流失户,DEV-OOS,gcard_v4,高意愿,4,67340,0.029122506109714955,0.08736865185784884,0.5037101310514033
流失户,DEV-OOS,gcard_v4,高意愿,5,135387,0.05855076826070654,0.17565458374040066,0.415337041252389
流失户,DEV-OOS,gcard_v4,高意愿,6,273212,0.11815589752372205,0.3544722915263825,0.2715860145310029
流失户,DEV-OOS,gcard_v4,高意愿,7,84808,0.03667688592445361,0.11003208533947795,0.15286311930309646
流失户,DEV-OOS,gcard_v4,低意愿,合计,799128,0.3455986050259028,1.0,
流失户,DEV-OOS,gcard_v4,中意愿,合计,742416,0.3210723863372459,1.0,
流失户,DEV-OOS,gcard_v4,高意愿,合计,770757,0.33332900863685133,1.0,
流失户,DEV-OOS,gcard_v4,合计,1,36848,0.01593564159683363,,1.0
流失户,DEV-OOS,gcard_v4,合计,2,92270,0.03990397443931391,,1.0
流失户,DEV-OOS,gcard_v4,合计,3,162742,0.07038097548718787,,1.0
流失户,DEV-OOS,gcard_v4,合计,4,133688,0.057816002328416584,,1.0
流失户,DEV-OOS,gcard_v4,合计,5,325969,0.1409716987537522,,1.0
流失户,DEV-OOS,gcard_v4,合计,6,1005987,0.4350588439826822,,1.0
流失户,DEV-OOS,gcard_v4,合计,7,554797,0.2399328634118136,,1.0
流失户,DEV-OOS,gcard_v5,低意愿,1,420,0.0001816310468002664,0.0005445634416409512,0.011394156425490356
流失户,DEV-OOS,gcard_v5,低意愿,2,2895,0.001251956858301836,0.003753598008453699,0.03136783253153036
流失户,DEV-OOS,gcard_v5,低意愿,3,13139,0.005682024580735,0.01703575966600109,0.08072870265122423
流失户,DEV-OOS,gcard_v5,低意愿,4,21392,0.009251074650360234,0.02773643129424578,0.15998324782745263
流失户,DEV-OOS,gcard_v5,低意愿,5,57913,0.025044759079390067,0.07508881570417239,0.17766195359738382
流失户,DEV-OOS,gcard_v5,低意愿,6,389249,0.16833262699037355,0.5046923216554728,0.3869320508793345
流失户,DEV-OOS,gcard_v5,低意愿,7,286252,0.1237910724015949,0.3711485102300132,0.5159580891749594
流失户,DEV-OOS,gcard_v5,中意愿,1,3731,0.001613489132409033,0.004843397673974819,0.10121808957977266
流失户,DEV-OOS,gcard_v5,中意愿,2,17129,0.007407519525337531,0.022236011460068258,0.18559571793871624
流失户,DEV-OOS,gcard_v5,中意愿,3,48338,0.020904003667217327,0.06274997501061237,0.2969985561119474
流失户,DEV-OOS,gcard_v5,中意愿,4,46168,0.019965576592082618,0.059932989496668296,0.3452742420389787
