segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate
老户,DEV-OOS,gcard_v4,合计,4,312430,255719577.0,12791944.84,0.05002333020439808
老户,DEV-OOS,gcard_v4,合计,5,51019,31252388.57,1535276.44,0.04912509124098606
老户,DEV-OOS,gcard_v4,合计,6,233766,103222054.96000001,5879792.23,0.05696255739413929
老户,DEV-OOS,gcard_v4,合计,7,75218,17867328.11,1044008.3400000001,0.058431139427930955
老户,DEV-OOS,gcard_v5,低意愿,1,12896,21048685.990000002,255294.53000000003,0.012128763292933708
老户,DEV-OOS,gcard_v5,低意愿,2,60520,58903482.92,933348.3300000001,0.015845384410759392
老户,DEV-OOS,gcard_v5,低意愿,3,99528,48271343.78,1310745.54,0.027153699013928716
老户,DEV-OOS,gcard_v5,低意愿,4,114758,33853906.82,1187104.43,0.0350655076919716
老户,DEV-OOS,gcard_v5,低意愿,5,15707,4059946.37,135757.35,0.033438212633335844
老户,DEV-OOS,gcard_v5,低意愿,6,60311,12636367.38,403578.32,0.03193784319999724
老户,DEV-OOS,gcard_v5,低意愿,7,12901,1645284.96,58272.15,0.03541766406227891
老户,DEV-OOS,gcard_v5,中意愿,1,16066,59729992.82,1042821.9,0.017458932284532627
老户,DEV-OOS,gcard_v5,中意愿,2,55476,120877004.92,3156062.99,0.026109705415755267
老户,DEV-OOS,gcard_v5,中意愿,3,72827,80484507.46000001,2654491.72,0.032981399821813605
老户,DEV-OOS,gcard_v5,中意愿,4,100221,63701805.22,2453440.0300000003,0.03851445059565928
老户,DEV-OOS,gcard_v5,中意愿,5,17991,8489105.620000001,338697.49,0.039897900339706215
老户,DEV-OOS,gcard_v5,中意愿,6,86699,29913275.14,1532311.33,0.05122512740007512
老户,DEV-OOS,gcard_v5,中意愿,7,27341,5160415.46,272649.43,0.0528347828025459
老户,DEV-OOS,gcard_v5,高意愿,1,15477,141424660.71,4388997.26,0.03103417210241649
老户,DEV-OOS,gcard_v5,高意愿,2,55305,297926596.81,11323030.74,0.038006109092774826
老户,DEV-OOS,gcard_v5,高意愿,3,69335,196737203.58,10586626.48,0.053811004158626864
老户,DEV-OOS,gcard_v5,高意愿,4,97451,158163864.96,9151400.38,0.05786024754968153
老户,DEV-OOS,gcard_v5,高意愿,5,17321,18703336.580000002,1060821.6,0.056718307744852654
老户,DEV-OOS,gcard_v5,高意愿,6,86756,60672412.440000005,3943902.58,0.0650032266954968
老户,DEV-OOS,gcard_v5,高意愿,7,34976,11061627.69,713086.76,0.06446490335637034
老户,DEV-OOS,gcard_v5,低意愿,合计,376621,180419018.22,4284100.65,0.02374528302097309
老户,DEV-OOS,gcard_v5,中意愿,合计,376621,368356106.64,11450474.89,0.03108534020094507
老户,DEV-OOS,gcard_v5,高意愿,合计,376621,884689702.77,41167865.800000004,0.04653367804677925
老户,DEV-OOS,gcard_v5,合计,1,44439,222203339.52,5687113.69,0.025594186398301706
老户,DEV-OOS,gcard_v5,合计,2,171301,477707084.65000004,15412442.06,0.032263373425353695
老户,DEV-OOS,gcard_v5,合计,3,241690,325493054.82,14551863.74,0.04470714051962579
老户,DEV-OOS,gcard_v5,合计,4,312430,255719577.0,12791944.84,0.05002333020439808
老户,DEV-OOS,gcard_v5,合计,5,51019,31252388.57,1535276.44,0.04912509124098606
老户,DEV-OOS,gcard_v5,合计,6,233766,103222054.96000001,5879792.23,0.05696255739413929
老户,DEV-OOS,gcard_v5,合计,7,75218,17867328.11,1044008.3400000001,0.058431139427930955
老户,DEV-OOS,gcard_v6,低意愿,1,12150,14335553.110000001,146461.80000000002,0.010216682877609597
老户,DEV-OOS,gcard_v6,低意愿,2,60330,47225768.27,698568.79,0.014792110654635201
老户,DEV-OOS,gcard_v6,低意愿,3,101029,40400355.59,1216992.96,0.030123322981375766
老户,DEV-OOS,gcard_v6,低意愿,4,117003,28494884.03,1101460.96,0.038654691798020974
老户,DEV-OOS,gcard_v6,低意愿,5,15872,3023876.74,129257.08,0.04274548571711954
老户,DEV-OOS,gcard_v6,低意愿,6,59301,8635022.61,244918.07,0.028363338587714483
老户,DEV-OOS,gcard_v6,低意愿,7,10936,682673.41,26516.2,0.03884170616810753
老户,DEV-OOS,gcard_v6,中意愿,1,17960,60961988.78,938891.4400000001,0.015401260011189551
老户,DEV-OOS,gcard_v6,中意愿,2,57378,109759397.36,2585074.42,0.023552192178326298
老户,DEV-OOS,gcard_v6,中意愿,3,71482,70273935.89,1989766.24,0.02831442717417432
老户,DEV-OOS,gcard_v6,中意愿,4,97425,53870034.9,1856194.52,0.03445690212463553
老户,DEV-OOS,gcard_v6,中意愿,5,17526,7120462.49,259380.11000000002,0.03642742453376789
老户,DEV-OOS,gcard_v6,中意愿,6,86622,26111335.880000003,1331631.61,0.05099821840291076
老户,DEV-OOS,gcard_v6,中意愿,7,28228,4603760.49,230566.27000000002,0.05008216011689175
老户,DEV-OOS,gcard_v6,高意愿,1,14329,146905797.63,4601760.45,0.03132456665590619
老户,DEV-OOS,gcard_v6,高意愿,2,53593,320721919.02,12128798.85,0.037817180961815265
老户,DEV-OOS,gcard_v6,高意愿,3,69179,214818763.34,11345104.540000001,0.05281244693715962
老户,DEV-OOS,gcard_v6,高意愿,4,98002,173354658.07,9834289.36,0.05672930551441513
老户,DEV-OOS,gcard_v6,高意愿,5,17621,21108049.34,1146639.25,0.05432236923130103
老户,DEV-OOS,gcard_v6,高意愿,6,87843,68475696.47,4303242.55,0.06284335569898586
老户,DEV-OOS,gcard_v6,高意愿,7,36054,12580894.21,786925.87,0.06254927963502842
老户,DEV-OOS,gcard_v6,低意愿,合计,376621,142798133.76,3564175.8600000003,0.024959540899815193
老户,DEV-OOS,gcard_v6,中意愿,合计,376621,332700915.79,9191504.610000001,0.027626929093882195
老户,DEV-OOS,gcard_v6,高意愿,合计,376621,957965778.08,44146760.870000005,0.04608386007116143
老户,DEV-OOS,gcard_v6,合计,1,44439,222203339.52,5687113.69,0.025594186398301706
老户,DEV-OOS,gcard_v6,合计,2,171301,477707084.65000004,15412442.06,0.032263373425353695
老户,DEV-OOS,gcard_v6,合计,3,241690,325493054.82,14551863.74,0.04470714051962579
老户,DEV-OOS,gcard_v6,合计,4,312430,255719577.0,12791944.84,0.05002333020439808
老户,DEV-OOS,gcard_v6,合计,5,51019,31252388.57,1535276.44,0.04912509124098606
老户,DEV-OOS,gcard_v6,合计,6,233766,103222054.96000001,5879792.23,0.05696255739413929
老户,DEV-OOS,gcard_v6,合计,7,75218,17867328.11,1044008.3400000001,0.058431139427930955
流失户,DEV-OOS,model_score,低意愿,1,80,0.0,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,2,687,0.0,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,3,4156,41528.94,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,4,11213,61367.43,2756.01,0.044909979120846356
流失户,DEV-OOS,model_score,低意愿,5,27820,382402.7,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,6,329602,1131567.11,36198.51,0.03198971557241532
流失户,DEV-OOS,model_score,低意愿,7,397237,1127640.92,29161.450000000004,0.025860581575915146
流失户,DEV-OOS,model_score,中意愿,1,2294,95152.53,0.0,0.0
流失户,DEV-OOS,model_score,中意愿,2,10335,251418.41,23301.95,0.09268195594745826
流失户,DEV-OOS,model_score,中意愿,3,36474,661965.29,2444.4700000000003,0.0036927464882637578
流失户,DEV-OOS,model_score,中意愿,4,43695,522952.99000000005,16101.06,0.030788733036979096
流失户,DEV-OOS,model_score,中意愿,5,122182,1945817.6,34970.35,0.017972059662735088
流失户,DEV-OOS,model_score,中意愿,6,434974,3729351.1300000004,115864.37000000001,0.031068238404250232
流失户,DEV-OOS,model_score,中意愿,7,120838,753769.56,7423.11,0.009847983248355107
流失户,DEV-OOS,model_score,高意愿,1,34487,21890550.71,410480.49,0.018751492159239515
流失户,DEV-OOS,model_score,高意愿,2,81270,21000473.76,586490.18,0.027927473765715655
流失户,DEV-OOS,model_score,高意愿,3,122125,16720524.76,587518.2000000001,0.03513754552760819
流失户,DEV-OOS,model_score,高意愿,4,78806,6756911.59,149061.37,0.022060577234813278
流失户,DEV-OOS,model_score,高意愿,5,175971,11913001.82,339191.15,0.028472349381375318
流失户,DEV-OOS,model_score,高意愿,6,241412,11098017.43,527924.1,0.047569226064911665
流失户,DEV-OOS,model_score,高意愿,7,36722,1339893.1600000001,72112.98,0.053819947853155685
流失户,DEV-OOS,model_score,低意愿,合计,770795,2744507.1,68115.97,0.02481901759335948
流失户,DEV-OOS,model_score,中意愿,合计,770792,7960427.510000001,200105.31,0.025137507972860112
流失户,DEV-OOS,model_score,高意愿,合计,770793,90719373.23,2672778.47,0.02946204735369731
流失户,DEV-OOS,model_score,合计,1,36861,21985703.240000002,410480.49,0.01867033706036687
流失户,DEV-OOS,model_score,合计,2,92292,21251892.17,609792.13,0.028693545267503583
流失户,DEV-OOS,model_score,合计,3,162755,17424018.990000002,589962.67,0.0338591613300348
流失户,DEV-OOS,model_score,合计,4,133714,7341232.01,167918.44,0.0228733324013281
流失户,DEV-OOS,model_score,合计,5,325973,14241222.120000001,374161.5,0.026273131396113633
流失户,DEV-OOS,model_score,合计,6,1005988,15958935.67,679986.98,0.042608541951720265
流失户,DEV-OOS,model_score,合计,7,554797,3221303.64,108697.54000000001,0.033743338768275816
流失户,DEV-OOS,gcard_v2,低意愿,1,1165,6000.0,0.0,0.0
流失户,DEV-OOS,gcard_v2,低意愿,2,3656,20084.72,0.0,0.0
流失户,DEV-OOS,gcard_v2,低意愿,3,16363,149966.28,0.0,0.0
流失户,DEV-OOS,gcard_v2,低意愿,4,24770,171419.47,0.0,0.0
流失户,DEV-OOS,gcard_v2,低意愿,5,66084,728404.71,25346.23,0.0347969056927158
流失户,DEV-OOS,gcard_v2,低意愿,6,382903,1817789.82,32878.46,0.018087052550442823
流失户,DEV-OOS,gcard_v2,低意愿,7,275826,302937.63,3451.1600000000003,0.011392312008250676
流失户,DEV-OOS,gcard_v2,中意愿,1,3347,325732.35,8241.93,0.025302767747815043
流失户,DEV-OOS,gcard_v2,中意愿,2,18508,1304239.1600000001,63072.79,0.04835983455672347
流失户,DEV-OOS,gcard_v2,中意愿,3,48941,2325109.7,170543.17,0.07334844029079574
流失户,DEV-OOS,gcard_v2,中意愿,4,48771,1473625.33,40314.05,0.02735705554138378
流失户,DEV-OOS,gcard_v2,中意愿,5,125312,3089339.97,52813.67,0.017095454211211333
流失户,DEV-OOS,gcard_v2,中意愿,6,362502,3292975.39,121897.06000000001,0.037017300636431424
流失户,DEV-OOS,gcard_v2,中意愿,7,163386,511242.42,10269.79,0.020087906633412776
流失户,DEV-OOS,gcard_v2,高意愿,1,32336,21653970.89,402238.56,0.018575741236715036
流失户,DEV-OOS,gcard_v2,高意愿,2,70106,19927568.29,546719.3400000001,0.027435326380206328
流失户,DEV-OOS,gcard_v2,高意愿,3,97438,14948943.01,419419.5,0.028056799716169364
流失户,DEV-OOS,gcard_v2,高意愿,4,60147,5696187.21,127604.39,0.022401719833923788
流失户,DEV-OOS,gcard_v2,高意愿,5,134573,10423477.44,296001.60000000003,0.028397586285753024
流失户,DEV-OOS,gcard_v2,高意愿,6,260582,10848170.46,525211.46,0.04841474992825656
流失户,DEV-OOS,gcard_v2,高意愿,7,115585,2407123.59,94976.59,0.03945646596400977
流失户,DEV-OOS,gcard_v2,低意愿,合计,770767,3196602.63,61675.850000000006,0.019294187341640272
流失户,DEV-OOS,gcard_v2,中意愿,合计,770767,12322264.32,467152.46,0.03791125136325594
流失户,DEV-OOS,gcard_v2,高意愿,合计,770767,85905440.89,2412171.44,0.028079379082504585
流失户,DEV-OOS,gcard_v2,合计,1,36848,21985703.240000002,410480.49,0.01867033706036687
流失户,DEV-OOS,gcard_v2,合计,2,92270,21251892.17,609792.13,0.028693545267503583
流失户,DEV-OOS,gcard_v2,合计,3,162742,17424018.990000002,589962.67,0.0338591613300348
流失户,DEV-OOS,gcard_v2,合计,4,133688,7341232.01,167918.44,0.0228733324013281
流失户,DEV-OOS,gcard_v2,合计,5,325969,14241222.120000001,374161.5,0.026273131396113633
流失户,DEV-OOS,gcard_v2,合计,6,1005987,15958935.67,679986.98,0.042608541951720265
流失户,DEV-OOS,gcard_v2,合计,7,554797,3221303.64,108697.54000000001,0.033743338768275816
流失户,DEV-OOS,gcard_v4,低意愿,1,1318,10074.36,0.0,0.0
流失户,DEV-OOS,gcard_v4,低意愿,2,8920,214901.04,1162.87,0.005411188331150002
流失户,DEV-OOS,gcard_v4,低意愿,3,29855,1007566.13,21919.230000000003,0.02175463162899293
流失户,DEV-OOS,gcard_v4,低意愿,4,36913,746610.2000000001,9247.42,0.012385874181734993
流失户,DEV-OOS,gcard_v4,低意愿,5,91875,1831409.72,27924.57,0.015247582064815076
流失户,DEV-OOS,gcard_v4,低意愿,6,369816,3038963.15,71393.65000000001,0.02349276594551665
流失户,DEV-OOS,gcard_v4,低意愿,7,260431,792804.37,37896.22,0.04780021583382544
流失户,DEV-OOS,gcard_v4,中意愿,1,2422,142373.43,0.0,0.0
