mdl_month,score_version,score_decile,score_min,score_max,n_samples,pct,bad_rate,baseline_pct,psi_component,month_psi,lower_bound,upper_bound
2025-08,gcard_v2,005,0.027973919978419564,0.0536298873052419,113589,0.09468866835333298,0.02220285414960956,0.10004084660848109,0.0002942854215944002,0.0026678713530260646,"(0.027974, 0.053630]","(0.027974, 0.053630]"
2025-08,gcard_v2,006,0.0536298873052419,0.10296779666415606,112176,0.09351078063195802,0.05231065468549422,0.09995915339151891,0.00043000913089690033,0.003097880483922965,"(0.053630, 0.102968]","(0.053630, 0.102968]"
2025-08,gcard_v2,007,0.10296779666415606,0.19997640248560597,110645,0.09223452719853618,0.1308689954358534,0.09999916639574528,0.0006275948831486721,0.003725475367071637,"(0.102968, 0.199976]","(0.102968, 0.199976]"
2025-08,gcard_v2,008,0.19997640248560597,0.3692633792949485,112649,0.09390507708787475,0.2665713854539321,0.10000083360425471,0.0003833869257664562,0.004108862292838094,"(0.199976, 0.369263]","(0.199976, 0.369263]"
2025-08,gcard_v2,009,0.3692633792949485,0.6062231732892975,121130,0.1009749042393121,0.49283414513332785,0.09999916639574528,9.474573679849218e-06,0.004118336866517943,"(0.369263, 0.606223]","(0.369263, 0.606223]"
2025-08,gcard_v2,010,0.6062231732892975,0.9741262090106864,120207,0.10020548430525048,0.7851705807482093,0.10000083360425471,4.183876357422189e-07,0.004118755254153685,"(0.606223, 0.974126]","(0.606223, +inf)"
2025-09,gcard_v2,001,0.0014166848566419,0.00496472658111916,142868,0.11909676257673417,0.001161911694711202,0.10000083360425471,0.0033371619938763943,0.0033371619938763943,"(-inf, 0.004965]","(0.001417, 0.004965]"
2025-09,gcard_v2,002,0.00496472658111916,0.00857807895495418,138565,0.11550972160627411,0.002403204272363151,0.09999916639574528,0.0022365111028831383,0.005573673096759532,"(0.004965, 0.008578]","(0.004965, 0.008578]"
2025-09,gcard_v2,003,0.00857807895495418,0.014988728369779233,129923,0.10830562956195253,0.004918297760981505,0.10000083360425471,0.000662545093132365,0.006236218189891897,"(0.008578, 0.014989]","(0.008578, 0.014989]"
2025-09,gcard_v2,004,0.014988728369779233,0.027973919978419564,122244,0.10190430778362049,0.00958738261182553,0.09999916639574528,3.595452182496252e-05,0.00627217271171686,"(0.014989, 0.027974]","(0.014989, 0.027974]"
2025-09,gcard_v2,005,0.027973919978419564,0.0536298873052419,117290,0.0977745841099837,0.023420581464745502,0.10004084660848109,5.1928915850157995e-05,0.006324101627567018,"(0.027974, 0.053630]","(0.027974, 0.053630]"
2025-09,gcard_v2,006,0.0536298873052419,0.10296779666415606,114377,0.09534626657641405,0.05518592024620334,0.09995915339151891,0.00021794257294344794,0.006542044200510466,"(0.053630, 0.102968]","(0.053630, 0.102968]"
2025-09,gcard_v2,007,0.10296779666415606,0.19997640248560597,108765,0.09066802490171691,0.13190824254125869,0.09999916639574528,0.0009140514845029705,0.007456095685013437,"(0.102968, 0.199976]","(0.102968, 0.199976]"
2025-09,gcard_v2,008,0.19997640248560597,0.3692633792949485,108419,0.09037959446346937,0.2714099927134543,0.10000083360425471,0.0009732845999642181,0.008429380284977655,"(0.199976, 0.369263]","(0.199976, 0.369263]"
2025-09,gcard_v2,009,0.3692633792949485,0.6062231732892975,113162,0.09433342558661416,0.5001767377741645,0.09999916639574528,0.00033046148844489173,0.008759841773422546,"(0.369263, 0.606223]","(0.369263, 0.606223]"
2025-09,gcard_v2,010,0.6062231732892975,0.9741262090106864,103980,0.0866791819912704,0.7871417580303904,0.10000083360425471,0.0019045270251601732,0.01066436879858272,"(0.606223, 0.974126]","(0.606223, +inf)"
