segment,final_flag,score_version,decile,decile_int,n_samples,pct,bad,bad_rate,score_min,score_max,lower_bound,upper_bound
老户,DEV-OOS,gcard_v4,003,3,112983,0.09999707929191415,23548,0.20842073586291743,0.1293891487137948,0.1738855529899279,"(0.129389, 0.173886]","(0.129389, 0.173886]"
老户,DEV-OOS,gcard_v4,002,2,112988,0.10000150460719574,16365,0.14483838991751335,0.096644684697352,0.1293887777975857,"(0.096645, 0.129389]","(0.096645, 0.129389]"
老户,DEV-OOS,gcard_v4,001,1,112988,0.10000150460719574,11949,0.10575459340814954,0.0017641013368966,0.0966443879924136,"(-inf, 0.096644]","(0.001764, 0.096644]"
老户,DEV-OOS,gcard_v5,010,10,112987,0.10000061954413943,98055,0.8678432032003682,0.7676041722297668,0.9727686047554016,"(0.767604, 0.972769]","(0.767604, +inf)"
老户,DEV-OOS,gcard_v5,009,9,112986,0.09999973448108311,85370,0.7555803373869329,0.6486177444458008,0.7676026821136475,"(0.648618, 0.767603]","(0.648618, 0.767603]"
老户,DEV-OOS,gcard_v5,008,8,112986,0.09999973448108311,75519,0.6683925442090171,0.5433927178382874,0.6486176252365112,"(0.543393, 0.648618]","(0.543393, 0.648618]"
老户,DEV-OOS,gcard_v5,007,7,112986,0.09999973448108311,65310,0.5780362168764271,0.44708120822906494,0.543390691280365,"(0.447081, 0.543391]","(0.447081, 0.543391]"
老户,DEV-OOS,gcard_v5,006,6,112985,0.09999884941802678,55528,0.49146346860202683,0.35819968581199646,0.44708091020584106,"(0.358200, 0.447081]","(0.358200, 0.447081]"
老户,DEV-OOS,gcard_v5,005,5,112988,0.10000150460719574,45075,0.39893617021276595,0.2775258421897888,0.3581995368003845,"(0.277526, 0.358200]","(0.277526, 0.358200]"
老户,DEV-OOS,gcard_v5,004,4,112986,0.09999973448108311,35959,0.31826066946347337,0.20373044908046722,0.2775256633758545,"(0.203730, 0.277526]","(0.203730, 0.277526]"
老户,DEV-OOS,gcard_v5,003,3,112986,0.09999973448108311,26872,0.23783477598994565,0.1358570158481598,0.20372989773750305,"(0.135857, 0.203730]","(0.135857, 0.203730]"
老户,DEV-OOS,gcard_v5,002,2,112986,0.09999973448108311,18125,0.16041810489795197,0.07397790998220444,0.1358553022146225,"(0.073978, 0.135855]","(0.073978, 0.135855]"
老户,DEV-OOS,gcard_v5,001,1,112987,0.10000061954413943,10372,0.0917981714710542,0.001979114720597863,0.0739775002002716,"(-inf, 0.073978]","(0.001979, 0.073978]"
老户,DEV-OOS,gcard_v6,010,10,112987,0.10000061954413943,104858,0.9280536698912264,0.8315584679279909,0.9779385364584652,"(0.831558, 0.977939]","(0.831558, +inf)"
老户,DEV-OOS,gcard_v6,009,9,112986,0.09999973448108311,91104,0.8063299877860974,0.7163707652008311,0.831556056944461,"(0.716371, 0.831556]","(0.716371, 0.831556]"
老户,DEV-OOS,gcard_v6,008,8,112986,0.09999973448108311,77965,0.6900412440479351,0.6054313890657064,0.7163705909837809,"(0.605431, 0.716371]","(0.605431, 0.716371]"
