segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户,DEV-OOS,gcard_v5,高意愿,合计,376621,281751,0.7481022035414913
老户,DEV-OOS,gcard_v5,合计,1,44439,19628,0.44168410630302213
老户,DEV-OOS,gcard_v5,合计,2,171301,74494,0.4348719505431959
老户,DEV-OOS,gcard_v5,合计,3,241690,100430,0.41553229343373743
老户,DEV-OOS,gcard_v5,合计,4,312430,139418,0.44623755721281566
老户,DEV-OOS,gcard_v5,合计,5,51019,24343,0.4771359689527431
老户,DEV-OOS,gcard_v5,合计,6,233766,116241,0.4972536639203306
老户,DEV-OOS,gcard_v5,合计,7,75218,41631,0.5534712435853121
老户,DEV-OOS,gcard_v6,低意愿,1,12150,1787,0.14707818930041153
老户,DEV-OOS,gcard_v6,低意愿,2,60330,8814,0.1460964694181999
老户,DEV-OOS,gcard_v6,低意愿,3,101029,14505,0.1435726375595126
老户,DEV-OOS,gcard_v6,低意愿,4,117003,18073,0.1544661248002188
老户,DEV-OOS,gcard_v6,低意愿,5,15872,2516,0.1585181451612903
老户,DEV-OOS,gcard_v6,低意愿,6,59301,9544,0.16094163673462505
老户,DEV-OOS,gcard_v6,低意愿,7,10936,1700,0.1554498902706657
老户,DEV-OOS,gcard_v6,中意愿,1,17960,6927,0.3856904231625835
老户,DEV-OOS,gcard_v6,中意愿,2,57378,23400,0.40782181323852346
老户,DEV-OOS,gcard_v6,中意愿,3,71482,30779,0.4305839232254274
老户,DEV-OOS,gcard_v6,中意愿,4,97425,42929,0.44063638696433155
老户,DEV-OOS,gcard_v6,中意愿,5,17526,7885,0.4499030012552779
老户,DEV-OOS,gcard_v6,中意愿,6,86622,38069,0.4394841957008612
老户,DEV-OOS,gcard_v6,中意愿,7,28228,12354,0.4376505597279297
老户,DEV-OOS,gcard_v6,高意愿,1,14329,10914,0.7616721334356898
老户,DEV-OOS,gcard_v6,高意愿,2,53593,42280,0.7889089993096113
老户,DEV-OOS,gcard_v6,高意愿,3,69179,55146,0.7971494239581376
老户,DEV-OOS,gcard_v6,高意愿,4,98002,78416,0.8001469357768208
老户,DEV-OOS,gcard_v6,高意愿,5,17621,13942,0.7912150275239771
老户,DEV-OOS,gcard_v6,高意愿,6,87843,68628,0.781257470714798
老户,DEV-OOS,gcard_v6,高意愿,7,36054,27577,0.7648804570921396
老户,DEV-OOS,gcard_v6,低意愿,合计,376621,56939,0.1511838160909774
老户,DEV-OOS,gcard_v6,中意愿,合计,376621,162343,0.4310513752552301
老户,DEV-OOS,gcard_v6,高意愿,合计,376621,296903,0.7883336298294572
老户,DEV-OOS,gcard_v6,合计,1,44439,19628,0.44168410630302213
老户,DEV-OOS,gcard_v6,合计,2,171301,74494,0.4348719505431959
老户,DEV-OOS,gcard_v6,合计,3,241690,100430,0.41553229343373743
老户,DEV-OOS,gcard_v6,合计,4,312430,139418,0.44623755721281566
老户,DEV-OOS,gcard_v6,合计,5,51019,24343,0.4771359689527431
老户,DEV-OOS,gcard_v6,合计,6,233766,116241,0.4972536639203306
老户,DEV-OOS,gcard_v6,合计,7,75218,41631,0.5534712435853121
流失户,DEV-OOS,model_score,低意愿,1,80,0,0.0
流失户,DEV-OOS,model_score,低意愿,2,687,1,0.001455604075691412
流失户,DEV-OOS,model_score,低意愿,3,4156,5,0.001203079884504331
流失户,DEV-OOS,model_score,低意愿,4,11213,22,0.0019620083831267277
流失户,DEV-OOS,model_score,低意愿,5,27820,77,0.0027677929547088426
流失户,DEV-OOS,model_score,低意愿,6,329602,750,0.0022754716294197245
流失户,DEV-OOS,model_score,低意愿,7,397237,1244,0.0031316317462874808
流失户,DEV-OOS,model_score,中意愿,1,2294,11,0.004795117698343505
流失户,DEV-OOS,model_score,中意愿,2,10335,66,0.006386066763425254
流失户,DEV-OOS,model_score,中意愿,3,36474,220,0.006031693809288808
