final_flag,segment,mdl_month,score_version,score_label,n_samples,n_positive,bad_rate,auc,ks
DEV-OOS,流失户,2025-08,gcard_v5,G卡V5,378909,10838,0.02860317384913,0.8879436357302086,0.6166381537419596
DEV-OOS,流失户,2025-08,gcard_v6,G卡V6,378909,10838,0.02860317384913,0.8957312716323056,0.6296983721632664
DEV-OOS,流失户,2025-09,model_score,本轮模型,393509,10326,0.026240822954494054,0.8732583606927606,0.5967206514234575
DEV-OOS,流失户,2025-09,gcard_v2,G卡V2,393499,10326,0.026241489813188853,0.8739301160720585,0.5897643212969881
DEV-OOS,流失户,2025-09,gcard_v4,G卡V4,393499,10326,0.026241489813188853,0.79474426248401,0.5111153524492196
DEV-OOS,流失户,2025-09,gcard_v5,G卡V5,393509,10326,0.026240822954494054,0.8791748186080559,0.5984745204087514
DEV-OOS,流失户,2025-09,gcard_v6,G卡V6,393509,10326,0.026240822954494054,0.8868147066203431,0.6128543835989048
DEV-OOS,流失户,2025-10,model_score,本轮模型,401903,10268,0.02554845323374048,0.875668055861364,0.5957562620828529
DEV-OOS,流失户,2025-10,gcard_v2,G卡V2,401891,10268,0.02554921608097718,0.8743083372128118,0.5832330429951343
DEV-OOS,流失户,2025-10,gcard_v4,G卡V4,401891,10268,0.02554921608097718,0.7950724763030323,0.5093901221500738
DEV-OOS,流失户,2025-10,gcard_v5,G卡V5,401903,10268,0.02554845323374048,0.8787254298425842,0.5968753720337843
DEV-OOS,流失户,2025-10,gcard_v6,G卡V6,401903,10268,0.02554845323374048,0.885446443947999,0.609040704261567
DEV-OOS,流失户,2025-11,model_score,本轮模型,407830,10494,0.025731309614300077,0.8830705145641038,0.6145010388973295
DEV-OOS,流失户,2025-11,gcard_v2,G卡V2,407821,10494,0.025731877465848988,0.8805779527351906,0.5992683248460784
DEV-OOS,流失户,2025-11,gcard_v4,G卡V4,407821,10494,0.025731877465848988,0.8096789682511741,0.539373564099384
DEV-OOS,流失户,2025-11,gcard_v5,G卡V5,407830,10494,0.025731309614300077,0.8861611748337698,0.6107420052579722
DEV-OOS,流失户,2025-11,gcard_v6,G卡V6,407830,10494,0.025731309614300077,0.8934116202233539,0.6211254217237747
OOT-OOS,全客群,2025-12,model_score,本轮模型,600000,87903,0.146505,0.9317367155283871,0.7190376914417448
OOT-OOS,全客群,2025-12,gcard_v2,G卡V2,599762,87778,0.14635472070588,0.9227158422165499,0.7003892517354644
OOT-OOS,全客群,2025-12,gcard_v4,G卡V4,599989,87903,0.14650768597424285,0.9170467951747612,0.687111397933476
OOT-OOS,全客群,2025-12,gcard_v5,G卡V5,600000,87903,0.146505,0.9212925810150453,0.6977158360198892
OOT-OOS,全客群,2025-12,gcard_v6,G卡V6,600000,87903,0.146505,0.930377011311224,0.7158740517280368
OOT-OOS,全客群,2026-01,model_score,本轮模型,600000,83575,0.13929166666666667,0.9299546427988934,0.7172517551644164
OOT-OOS,全客群,2026-01,gcard_v2,G卡V2,599749,83434,0.139114863051043,0.9210085861379828,0.6977785651469441
OOT-OOS,全客群,2026-01,gcard_v4,G卡V4,599989,83575,0.13929422039404055,0.9155068536960669,0.6840942467045408
OOT-OOS,全客群,2026-01,gcard_v5,G卡V5,600000,83575,0.13929166666666667,0.9200382864597059,0.6934914727828582
OOT-OOS,全客群,2026-01,gcard_v6,G卡V6,600000,83575,0.13929166666666667,0.9289140161605122,0.7153670734788753
OOT-OOS,老户次新,2025-12,model_score,本轮模型,189331,77315,0.40835890583158596,0.8066191546342134,0.4606493957085962
OOT-OOS,老户次新,2025-12,gcard_v2,G卡V2,189104,77190,0.40818808697859377,0.7780956673574998,0.4175334428676834
OOT-OOS,老户次新,2025-12,gcard_v4,G卡V4,189331,77315,0.40835890583158596,0.786332078621486,0.43324260672547565
OOT-OOS,老户次新,2025-12,gcard_v5,G卡V5,189331,77315,0.40835890583158596,0.7728715009260001,0.40552310003884023
OOT-OOS,老户次新,2025-12,gcard_v6,G卡V6,189331,77315,0.40835890583158596,0.8003965953746336,0.4498960611709622
OOT-OOS,老户次新,2026-01,model_score,本轮模型,183086,73016,0.39880711796642015,0.7965016344569678,0.44443637165106115
