feature,gain,split
d360_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,281.61236667633057,16
m1_manual_deduct_rep_apl_cnt_rat,278.9876012802124,11
ddf_12m_rep_dte_1_crt_dt_rep_prc_amt_rto,272.91933012008667,27
m6_normal_batch_rep_apl_fal_cnt_rat,264.3888895511627,24
credit_loan_avg_days_24m,262.4085807800293,25
ddf_3m_rep_dte_5_crt_dt_sum_prc_amt,261.3478398323059,24
stg_pln_cnt_d0_rep_his_fst_ord,258.7346795797348,32
pge_id_cnt_7d,256.1204617023468,22
12thord_con_late_repay_max,256.03198170661926,28
ddf_bjq_12m_rep_dte_1_crt_dt_max_prc_amt,255.61573516577482,31
avg_ddf_rep_dte_ord_crt_tim_1,253.64990031719208,26
pst_ord_apl_suc_max_prc_amt_360_day_bjq_12m,253.5801613330841,24
light_his_max_faqi_prc_amt_divide_heavy_his_max_faqi_prc_amt,253.2221794128418,30
